k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-2.528808085263504e-15,7.871096783368636e-14,-1.6760116572300677e-14,1.1973008070921417e-13,1.7044305904642972e-13
1,-1.7865720658649676e-15,1.9999999999999774,1.9730960347920763,56.43822896611947,47.08357021116782
2,-2.3216709443533446e-17,2.0000000000000067,1.9999999999999842,63.94828141865743,51.18163529544586
3,1.1657390397453264e-15,3.9999999999999853,2.635130337594601,72.34306270339717,54.013063249309106
4,1.9999999999999982,19.254296479613192,3.922070351830903,80.82105715879527,56.33090906288258
5,1.999999999999999,19.372830908332084,3.97993517182199,90.11363262992184,65.81603558556434
6,1.9999999999999991,19.43970038311035,14.452439601957796,104.9956720400662,73.90271218518282
7,2.0,19.882158511039723,15.599318143175559,112.06387970168804,77.40453024484441
8,2.0000000000000004,22.655678329150625,28.401621093537035,119.978109008765,88.38525709487354
9,2.0000000000000004,23.284698178280617,29.757063717513038,131.44457246854955,96.52208406712171
10,2.0000000000000004,24.59429785503444,42.28914965907789,136.8157269637845,97.12276679400225
11,2.000000000000001,24.69503371587541,43.445714583561745,145.85438294185056,103.03429826564148
12,2.0000000000000013,91.7382788512834,115.18780407139381,165.58868104704115,112.7767023949314
13,2.000000000000002,91.8375979919746,115.55579243940747,172.4870790096967,120.66850594501986
14,2.000000000000002,93.01476926610906,153.40934577336427,180.05571503585796,125.51514400392907
15,2.0000000000000044,93.08096722146878,153.72725986489937,189.5837736960488,133.71067490163605
16,3.999999999999997,317.2700528464371,158.5942476581146,203.7537349746034,135.77750024009822
17,3.999999999999997,317.939054264286,158.63456683872326,212.92810935489604,145.33243521956084
18,3.999999999999998,318.1380135186104,168.79968678452695,227.5059095591227,155.91859147979156
19,3.9999999999999982,318.7206389055637,169.0116816870782,240.6269725750365,159.0165360756212
20,3.999999999999999,363.2148895235132,188.10119932966265,244.39408403699196,169.53683990282497
21,3.9999999999999996,363.34339728074286,188.51036527688802,251.98508923006563,176.42360062868548
22,3.9999999999999996,363.4913829509205,214.33075056010748,264.15742543584054,180.47596768769608
23,4.000000000000001,363.8042186108642,214.7107784929565,272.22102626806463,188.86216941417067
24,4.000000000000002,395.44475795473045,234.38117847384734,280.88905074004583,202.4118935933307
25,4.000000000000002,396.2594491017203,234.4290726476509,307.59247447120396,219.330204880352
26,4.0000000000000036,396.4653011861442,244.26069268978563,334.02823717163125,223.1762576861539
27,4.000000000000004,397.37282330809256,244.29189158329947,343.53940114901263,235.71927321931855
28,5.9999999999999964,436.9704324285418,315.52420418291933,364.7767961942537,237.87782431864963
29,6.0,437.01886843142483,315.98671087878455,373.20474398389734,247.8173843623887
30,6.000000000000001,438.7086175006672,371.07223034325733,449.2338443185416,314.83820848555416
31,6.000000000000002,438.75151998971745,371.3906540376564,516.7435409264417,347.86234621827845
