k,skeleton_graph,definite_order_perturbed_graph,random_order_perturbed_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,2.7355895326763857e-13,-5.115907697472721e-13,-4.547473508864641e-13,-1.6100677632291088e-78,7.309639682819349e-13
1,5.999999999999936,8.000000000000025,20.42361427533035,67.1960311933602,85.44757614316754,47.43212996515451
2,5.999999999999972,10.00000000000006,24.404724140444415,67.94946710299209,86.69608347612154,51.25525222372751
3,5.999999999999996,11.442392593029153,28.81290273466766,69.90274175167858,90.73851562787434,52.17840368691489
4,5.9999999999999964,12.00000000000006,32.93936002642471,70.36673166837053,91.60219331023836,52.49847269207682
5,7.9999999999997975,13.428058948430687,35.42035825088598,76.74391038289855,93.75369537203717,57.31936653855443
6,7.99999999999985,13.999999999999988,36.10645485519427,78.15330222681852,95.54116930958179,57.69868846875954
7,7.999999999999851,14.000000000000043,39.33536487802563,78.37575189968263,96.42268529405303,58.48222641788742
8,7.999999999999901,14.626396353572636,40.18587636106847,80.11756319440684,96.5181153712043,59.12454927516406
9,7.999999999999918,14.655788978126846,41.22546976155159,80.82361317949827,96.77223569587002,61.16508460184593
10,7.999999999999923,14.668053743094648,45.380560793888606,80.93163130416087,97.16040313211036,61.37703350774045
11,7.99999999999993,14.689213901449355,45.49227649433208,81.02587645555596,97.28506370983571,61.94755682033452
12,7.999999999999967,14.705577047646004,47.03412670999867,81.39877351859424,97.71634395479683,62.065508234398315
13,7.999999999999971,14.711301225064219,48.51923678840778,81.83549248310989,98.507413248891,63.02443432113227
14,7.999999999999972,14.98492239428214,48.59230441812381,82.85519044879405,99.33375071805818,63.15372476608491
15,8.00000000000001,15.317286289900949,49.33241631673446,83.3258263150595,99.4702784449548,63.42831532513719
16,8.000000000000014,15.322452470952848,49.648253393814244,83.45746793705135,99.53259316375284,63.520180850815535
17,8.000000000000018,15.334515318636857,50.901252128487016,84.01198717777947,99.76728576666184,63.791221850731354
18,8.000000000000023,15.999999999999993,51.67686395725831,84.32085636221073,99.9358940756311,64.29809614611322
