k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,9.947598300641403e-14,2.2737367544323206e-13,-1.7053025658242404e-13,1.0658141036401503e-13,2.725319969698603e-13
1,5.999999999999936,7.753772495741984,10.000000000000234,11.917919813584703,14.416357984198399,9.909479704776174
2,5.999999999999972,8.000000000000092,10.720197065402616,14.558348858526756,14.52608993149984,10.49733529766051
3,5.999999999999996,8.669920884915541,11.069019948540124,15.253240582888363,14.71180267496118,10.515360897744488
4,5.9999999999999964,9.904834827580693,11.652134674856613,15.554057284942912,15.209626781589014,12.350531392382027
5,7.9999999999997975,9.999999999999758,12.632476296809637,15.5803077674977,15.399196342809654,12.458709300336515
6,7.99999999999985,10.000000000000156,12.668251156036742,16.307286460129447,15.504169704199919,12.742408918363509
7,7.999999999999851,10.580004373984405,12.825531849722994,16.414864795138463,15.617550524503384,13.280119424301521
8,7.999999999999901,10.592768478446443,13.027796696777173,16.560002604413576,16.281299252794227,13.323261816243098
9,7.999999999999918,10.608717606735192,13.329654051356439,16.652144069713327,16.792934803181822,13.381344057451884
10,7.999999999999923,10.653954932880003,13.359465923968955,16.785235317102828,17.28471371795178,13.611283086411673
11,7.99999999999993,11.532026025112515,13.604818479425871,16.963413828537988,17.413361707775017,13.632981746392746
12,7.999999999999967,12.000000000000057,13.717103238899389,17.167056266196706,17.507875810599284,13.761284118774086
13,7.999999999999971,12.000000000000353,13.764523777826794,17.28083125706081,17.715824097130277,13.92386157672683
14,7.999999999999972,12.412963851716414,14.051678216559404,17.340423498602167,17.749605193990874,14.055613688615415
15,8.00000000000001,12.461996540652521,14.16814435814873,17.515056683784824,17.83751833943174,14.103264309473122
16,8.000000000000014,12.55251592546495,14.204392732125855,17.637498322745657,17.89837831527532,14.151132971124062
17,8.000000000000018,12.55615310758283,14.255697687842428,17.872457115086267,17.918075205141918,14.32943782343768
18,8.000000000000023,12.571300436933171,14.272282797285529,18.107760260207385,18.093050556570372,14.512170690200392
19,8.000000000000036,12.63013486963724,14.352835576962471,18.11540585913183,18.117338413528618,14.671763240929263
20,8.000000000000039,12.636173169911732,14.461926847453462,18.1803657347923,18.559382872617853,14.75976677209042
21,8.000000000000075,12.639253423838127,14.515997023139967,18.22759461349468,18.645093361954125,14.82976628196432
22,9.999999999999885,12.639872117265595,14.696183250857302,18.252029926581052,18.791330378570763,14.921130617275574
23,9.999999999999904,12.64058264628292,14.768664361816825,18.304651018638314,18.829159357415392,15.077378423026284
24,9.999999999999906,12.700296660270231,14.835274919997461,18.3541472620265,18.854188709292874,15.092392676883986
25,9.999999999999915,12.72237789437495,14.870289234440271,18.471333591834348,18.881664408090504,15.112387972852614
26,9.999999999999924,12.726441757829193,14.913991773468595,18.574180861220142,19.04939575329317,15.131204564800928
27,9.999999999999925,12.839129335455297,14.956192584742746,18.608940002834597,19.133614561200183,15.185612183329594
28,9.999999999999929,12.843294107979135,15.08829597032242,18.697272591054926,19.20983388797338,15.378953767034108
29,9.999999999999945,12.87878298953062,15.121999565254745,18.707257059976016,19.34767317302407,15.444994284965889
30,9.999999999999947,13.011543976074748,15.165502443184604,18.79022399544867,19.477310169067202,15.572643599142134
31,9.999999999999952,13.569642671059889,15.24170555113642,18.818582963933427,19.72811119340533,15.60784954361447
32,9.999999999999961,13.719241420899905,15.259401103848859,18.8657344192468,19.75897565659892,15.662120234609072
33,9.999999999999963,13.91792597888825,15.32484152099518,18.999652107344435,19.807886627177147,15.746342987035892
34,9.999999999999966,13.936094725365015,15.337216530502987,19.13684818908544,19.861942143317187,15.920144440275209
35,9.999999999999972,13.999999999999636,15.454587113911561,19.19350183591796,19.964442390267738,15.943809512637534
36,9.999999999999973,13.999999999999668,15.55183836643417,19.360528668605347,20.01600532403781,16.013204210312043
37,9.99999999999999,13.999999999999874,15.596473385930805,19.46308815898823,20.05968099214438,16.09278418883758
38,9.999999999999991,13.999999999999885,15.661870421269084,19.509540086594242,20.08243572091214,16.130254575287545
39,9.999999999999996,13.999999999999929,15.76453559359654,19.519080642027504,20.117218748402454,16.20540596481534
