k,skeleton_graph,definite_order_perturbed_graph,random_order_perturbed_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,1.8474111129762605e-13,3.410605131648481e-13,-6.821210263296962e-13,-1.4210854715202004e-13,5.138218787396004e-12
1,5.999999999999936,8.79542465439071,25.943941430183656,153.39704868737758,139.03095818886484,72.41785678755147
2,5.999999999999972,9.999999999999918,36.602235055402815,158.9815201448627,142.77109603128338,78.37030078106912
3,5.999999999999996,11.999999999999854,44.697391470713576,160.93433308998152,152.13867017154115,78.45342280137305
4,5.9999999999999964,13.164819179326713,45.205430392383775,165.7699549525798,154.33137442407826,81.78095706610651
5,7.9999999999997975,13.999999999999538,48.25114864924158,168.00501839222306,157.93733901076294,82.73149603942133
6,7.99999999999985,13.999999999999872,54.615196160861615,169.24204185373594,158.64609645359198,83.01846631337604
7,7.999999999999851,15.01857060755749,58.20800095142832,170.3331420375269,159.22902154350712,84.03442666121074
8,7.999999999999901,15.02832290114632,61.181355669550555,171.2168577316549,161.4023437965475,87.25685157355716
9,7.999999999999918,15.103393143225109,64.56692363110172,171.5954893787198,161.791638879702,92.79218945974726
10,7.999999999999923,15.173829694746145,64.96391870216215,172.3245010166217,162.49358331357422,95.58443739065514
11,7.99999999999993,16.000000000000014,66.42187873287787,172.48514193164715,162.99404126761408,96.17376753682474
12,7.999999999999967,16.717079803956985,69.32739330159232,172.78473843460395,163.36581104662633,96.57631686624455
13,7.999999999999971,16.83183204264353,70.97690635265758,173.0102136877607,163.57965713708558,98.03267798393661
14,7.999999999999972,16.940291369071748,71.4230579106041,174.0215556715873,163.8477607247783,98.27961033532866
15,8.00000000000001,17.033253789938264,72.19711534587185,174.93389752619007,164.06617627650672,98.59317729949916
16,8.000000000000014,17.03475649543666,74.26342526119834,175.6422979189486,164.58377662712545,99.37716768961249
17,8.000000000000018,17.236871702281363,76.04781074599946,176.0542793580504,166.57533398213607,100.18250744488816
18,8.000000000000023,18.00000000000015,76.15261239410485,176.2043185481778,167.06228879126417,101.0488622053912
19,8.000000000000036,18.335986545174116,76.93507911815833,177.64798977501718,167.68836721643837,101.42946893634817
20,8.000000000000039,18.51452407592352,79.2744398709926,178.2089629049292,168.15426810447636,102.86681391253398
21,8.000000000000075,18.585032640754388,79.97677737323355,178.60979690772203,168.316448454694,102.95170710898581
22,9.999999999999885,18.695433959344943,81.52986761842507,178.86202621437135,168.5256194495403,103.1875581722098
23,9.999999999999904,18.76216583176387,82.61795198231584,178.93697988247393,168.84587048836255,103.46363383177567
24,9.999999999999906,18.862148309770593,82.943789345041,179.71863315295198,168.90458951594582,103.60008031373627
25,9.999999999999915,18.933480756361664,83.34571870973399,179.97621444096555,169.23937729409312,103.74402731102445
