k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-1.882835305098811e-14,-2.6395172939702794e-15,7.470206295802789e-14,-5.371050826319417e-14,2.8370818075766304e-14
1,-1.4129918206825918e-14,0.1588403988990592,2.0000000000000036,1.8497911481184879,2.9624038172786875
2,-1.0923905192870713e-14,0.3169476049805477,2.786576194918297,1.8745026740253763,5.0632898041265975
3,-1.0314922433172544e-14,0.4888381180584263,2.81252419370818,1.9768018213580643,5.291063867749384
4,-1.0090016666751377e-14,2.000000000000014,2.9840127951588467,2.6057971118262837,5.479260715532473
5,-8.597925241247496e-15,2.000000000000021,3.1977912782727107,2.7400861532942637,5.694672474515928
6,-8.099241263073182e-15,2.0833548228294707,3.235523377153884,2.7925818020507087,5.851197060076936
7,-8.096838469446456e-15,2.1017610295937303,3.5129741933765484,2.868544511631727,6.036731571831933
8,-7.994040387980004e-15,2.1994155695672593,3.692451836377316,2.984361680137001,6.177151129155292
9,-7.533643389703432e-15,2.261731446873588,3.7936064686849917,3.0586453966717,6.280359744284367
10,-7.20250187701051e-15,2.2867728441903648,3.8919867734607023,3.2429142168036145,6.384167573150157
11,-7.17329057665678e-15,2.2996605801169365,4.033236257386012,3.383355655038943,6.430463438320783
12,-5.982336279461906e-15,2.349483055391117,4.149829489926478,3.4413547041390116,6.500487936708684
13,-5.307055813805103e-15,2.353123261402773,4.2516798045193696,3.518418714926385,6.558983663567765
14,-5.002485578016222e-15,2.3937039890404757,4.628697416826536,3.6307348939570776,6.578369556706723
15,-3.879277891661493e-15,2.397119595047959,4.740020895485907,3.689210876841684,6.705151135702642
16,-2.3185520626297047e-15,2.4757680587104676,4.8481684041241495,3.7261595807861925,6.729981348597076
17,-1.0733819891917737e-15,2.496491278816987,5.0981898732017115,3.754022334088908,6.751390954450057
18,-1.0293554849595841e-15,2.5093892482751525,5.1699634137888415,3.7727699983306073,6.801105132081834
19,-8.726189845086543e-16,2.520779589477619,5.2625804710856094,3.7972800032460152,6.911639778278986
20,-8.451515597547874e-16,2.5245196078773184,5.37367183494103,3.844533827227442,6.976057311753524
21,1.163146642425703e-15,2.5565162679189064,5.539834739052536,3.8556558184912717,6.998177069663233
22,2.1138381968264504e-15,2.690056141780719,5.646189635108878,3.876790992408853,7.062520496541609
23,2.603693961921421e-15,2.804410857493781,5.702246795164753,3.9239741795652887,7.141817048427019
24,3.5750733963365395e-15,2.8853897697311863,5.71612680464935,3.9473443214061366,7.214947436991554
25,3.613357210362727e-15,2.9304544378570183,5.899377570785788,3.983183355195666,7.266875890241196
26,5.329070518200751e-15,2.9847215624608436,5.975967269735631,3.99325677620511,7.291711154150476
27,6.230110548299651e-15,3.0922230956622903,6.004441613455091,4.032235758293127,7.384157161205518
28,6.42065989480847e-15,3.211996258504892,6.165990968510677,4.070468813911276,7.448608224290199
29,9.472380482766286e-15,3.251740534580428,6.1999741702251745,4.10373738587087,7.469389500453941
30,1.409461315036206e-14,3.5462199704734103,6.249135648019893,4.1416282062864935,7.606145942238219
31,1.7135243626424964e-14,3.5935760163852635,6.3538335016533,4.183254967489407,7.609169866628483
32,1.9999999999999831,3.609761965817878,6.444285357028329,4.215176078307371,7.679545518445266
33,1.9999999999999831,3.6175201660342493,6.5705232771593645,4.296157605841142,7.707278547114331
34,1.9999999999999845,3.651611727744182,6.6014330576228994,4.307578526466985,7.825611252743255
35,1.9999999999999853,3.677058123477345,6.929670564338409,4.355826845932928,7.859017227138126
36,1.9999999999999862,3.9528137307391025,7.169963413788759,4.376728653366867,7.884032017546214
37,1.9999999999999867,3.970456950611,7.1840776348163295,4.430746660941858,7.967055318721671
38,1.9999999999999867,3.9999999999999836,7.186184951326955,4.449314199577933,8.03302299032854
39,1.9999999999999893,3.999999999999988,7.290711204383005,4.536082544998186,8.072880609799128
40,1.9999999999999898,4.007539373629658,7.407578971078677,4.558688358229154,8.130829589207865
41,1.9999999999999911,4.0358882082379814,7.686380447497344,4.580048198046188,8.188768185516514
42,1.9999999999999913,4.069441467347653,7.730751000603549,4.625377451780698,8.25019194618439
43,1.9999999999999916,4.074930407997828,7.788995181086436,4.673448213684874,8.260897650388875
44,1.9999999999999916,4.111607325681815,7.879377746717191,4.684567638104566,8.318748865412907
45,1.999999999999992,4.129732199663962,7.896278024576719,4.704957829195882,8.379853146441748
46,1.9999999999999922,4.141052694699372,7.979620745922641,4.777161308984686,8.447303436808879
47,1.9999999999999927,4.143521204211649,7.989110299180986,4.830113055778218,8.483924172515119
48,1.9999999999999933,4.158322567327466,8.03532754384693,4.849652358655099,8.52708666062185
49,1.9999999999999933,4.171846675573709,8.071397640706625,4.909426524584646,8.567098066036591
50,1.9999999999999936,4.205707450958799,8.110590309077343,4.947915778713417,8.605043822046838
51,1.9999999999999938,4.237229975560026,8.14730804653445,4.974345457773647,8.635412960001457
52,1.9999999999999942,4.270793825123189,8.30863357912818,5.026422017666238,8.731923653523431
53,1.9999999999999944,4.271473209879086,8.311189349137772,5.050275401130391,8.754470313483624
54,1.9999999999999947,4.271772182295795,8.428913448804177,5.069335555784499,8.795080616661021
55,1.9999999999999947,4.277821988793033,8.481020613431086,5.129204869761242,8.83579188830172
56,1.999999999999995,4.294521914835904,8.670590293144368,5.155804101195597,8.960117954395
57,1.9999999999999951,4.308663169361773,8.731888250033668,5.209967918545712,8.984314415345427
58,1.9999999999999951,4.323232656496391,8.852581362066541,5.235599426316918,9.056562904672822
59,1.9999999999999953,4.341116713964984,8.91288616326267,5.264284383709964,9.091799910026522
60,1.9999999999999953,4.360484453432535,8.975542296960878,5.293699326777288,9.128350142678604
61,1.9999999999999953,4.401311882082173,8.99006551657585,5.336486924985464,9.168417782484966
62,1.9999999999999956,4.40647179561394,8.996748902570133,5.361390201450444,9.205815034299489
63,1.999999999999996,4.423861973104046,9.027768183683126,5.423536832557733,9.251609535073644
64,1.9999999999999962,4.446628738568527,9.108588253805372,5.457706731456619,9.320976655836953
65,1.9999999999999964,4.476941898033667,9.165154244554888,5.46501456223517,9.403504147455374
66,1.9999999999999964,4.5128578537547615,9.178430494142972,5.528969929253374,9.484299058090366
67,1.9999999999999964,4.568938916587638,9.216944565773325,5.544998830857419,9.518216418293296
68,1.9999999999999967,4.614540725648985,9.268122688476684,5.569410287229882,9.607776516278587
69,1.9999999999999971,4.619164028900258,9.337406342463389,5.6004920564056695,9.640313916784276
70,1.9999999999999973,4.627203854294221,9.35922857291955,5.647401546250785,9.709944439334402
71,1.9999999999999973,4.6791499707446205,9.372092209889626,5.682768168278673,9.755183983189875
72,1.9999999999999976,4.694994079982836,9.453097874261795,5.718098524539998,9.764264234309389
73,1.9999999999999976,4.697014343471152,9.548391789034149,5.766882787458218,9.838882519023944
74,1.9999999999999976,4.742912902700172,9.59878492062464,5.805972590141929,9.857382035693853
75,1.9999999999999978,4.747904446268254,9.703000458307166,5.825588641336416,9.888399416336906
76,1.999999999999998,4.784899943040496,9.722930795266347,5.9087888392742265,9.919763692197288
77,1.999999999999998,4.8147885945927795,9.764831049285814,5.911637263974329,9.98028578822767
78,1.999999999999998,4.901752759248671,9.863542733357292,5.952076619186166,10.057398100201961
79,1.9999999999999984,4.947066712851759,9.88511485348177,6.002358943036199,10.180911184797191
80,1.9999999999999987,4.970100011205253,9.910325815056963,6.045656555838144,10.191612177198465
81,1.9999999999999987,5.086551278110666,9.929026285024639,6.06500244376804,10.235211747958688
82,1.9999999999999987,5.091648791181442,9.988823961454882,6.088538531784092,10.277239304300965
83,1.999999999999999,5.1177540495223885,9.999538412259714,6.119922380451786,10.283716259818167
84,1.999999999999999,5.149762826826172,10.094925907117831,6.159163963015916,10.33345849658857
85,1.999999999999999,5.161548104446922,10.110991265821692,6.2126582069845355,10.37897929804607
86,1.9999999999999991,5.202310881856503,10.169143573145815,6.2495145971126815,10.423107145936353
87,1.9999999999999991,5.210807369355643,10.230079288996185,6.2668377223481455,10.521421275210141
88,1.9999999999999991,5.245482082936521,10.273765604727052,6.29871134795096,10.574661222694669
89,1.9999999999999993,5.292418492863104,10.336694081944287,6.357756958586485,10.621703397726415
90,1.9999999999999996,5.3034256581284245,10.3482160592356,6.3811017213873455,10.631298234207593
91,1.9999999999999996,5.3723807716640195,10.399669445623752,6.401069619698777,10.67750292920242
92,1.9999999999999996,5.410702296059569,10.478338792562395,6.432321194863403,10.715014847999036
93,1.9999999999999996,5.449575050132918,10.490205108458776,6.470095388077564,10.743756801731195
94,1.9999999999999996,5.50571937329115,10.582485286125332,6.50285577238316,10.788029777036895
95,2.0,5.554405610400877,10.663764360415943,6.540323619700418,10.83862657007371
96,2.0,5.586915000876907,10.664464720603318,6.564784516801905,10.962237760001564
97,2.0,5.598942764243249,10.771387754749586,6.580471962395946,10.987767750267636
98,2.0000000000000004,5.606014084931288,10.798933015720905,6.619334359201574,10.997325606303374
99,2.0000000000000004,5.619220626455571,10.799607844087937,6.654670901528072,11.044492476204102
100,2.0000000000000004,5.629520448914923,10.918356841136902,6.7072976619925875,11.080654411779514
101,2.0000000000000004,5.635100381559417,10.960067600410753,6.727887109124434,11.132897091766008
102,2.0000000000000004,5.670327400385067,10.976831607854871,6.746187414721789,11.186192390202935
103,2.0000000000000004,5.68174549302072,11.051018002399537,6.765304821600094,11.21021222268827
104,2.000000000000001,5.6829117476829,11.076617350396408,6.814788086332228,11.265990798527403
105,2.0000000000000013,5.693662023426131,11.142759675140807,6.855768460209392,11.326968032861602
106,2.0000000000000013,5.92985880336285,11.14870835524403,6.893388649199414,11.418340745402494
107,2.0000000000000013,5.9614495179261215,11.202360675944039,6.926546342975451,11.46168067126267
108,2.0000000000000018,5.999999999999993,11.248366019128252,6.949328314215401,11.528000982835172
109,2.0000000000000018,5.999999999999997,11.324000744850068,6.9536400876012205,11.536648679467225
110,2.0000000000000018,6.052844124467302,11.338017681359712,7.032245058422385,11.610366626197319
111,2.0000000000000018,6.063724305002251,11.340811092310279,7.04599786691984,11.619394984310244
112,2.0000000000000018,6.06824278673082,11.353978103464694,7.093270553000002,11.684807063119806
113,2.0000000000000018,6.073179646886549,11.404736051435515,7.109083170981821,11.704712864613597
114,2.000000000000002,6.082710130495471,11.52859290204518,7.174127277135125,11.755776451192238
115,2.000000000000002,6.093448656873649,11.529695068314775,7.207954214811105,11.800334622636957
116,2.0000000000000027,6.10129380262452,11.588460750490235,7.238212090160827,11.804922166918159
117,2.0000000000000027,6.107181543312722,11.604944303597565,7.289619239937205,11.913950778846484
118,2.0000000000000027,6.119261525567497,11.662894176205738,7.345435488928065,11.942208862134262
119,2.0000000000000027,6.125197982242851,11.70682322656108,7.35918482043564,12.004530048049778
120,2.0000000000000027,6.172959849075024,11.733208384502811,7.382921037188618,12.052853340940839
121,2.000000000000003,6.193712251420847,11.786086155459204,7.428559452029886,12.081180541223851
122,2.000000000000003,6.22239169346584,11.868712770290017,7.456076178517944,12.130769339967221
123,2.000000000000003,6.22679104924313,11.877578214207396,7.492990293354632,12.181045636072673
124,2.000000000000003,6.269964203091471,11.961737513612896,7.527416513462093,12.248170396133924
125,2.000000000000003,6.273064319433513,11.974958342046332,7.557158443901974,12.277080901296047
126,2.000000000000003,6.274942103026278,12.023619752081169,7.597329623772914,12.371063041787911
