k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-6.411881327365894e-16,-1.8975082299857144e-15,-1.2866666685105988e-14,-2.843472627280651e-14,-1.0668777417878462e-14
1,-3.890236014906927e-16,2.0000000000000044,1.8397852697992545,7.028632245134065,5.743267953073836
2,-7.755472812443504e-17,2.00000000000001,1.9999999999999998,7.640391129705292,6.243151155698129
3,6.825765852129787e-16,2.692776769968078,2.4852137932076506,8.06306650727419,6.588529582948381
4,1.9999999999999993,4.000000000000011,3.5612827618565035,8.409074376929471,6.871261107375254
5,1.9999999999999996,4.453303077884675,3.8861190704126685,9.825013436510085,8.028259672782424
6,1.9999999999999996,4.526468789074825,5.1226691919938085,11.032191984125124,9.014674899010199
7,1.9999999999999998,6.095435744896303,5.920503916180431,11.554943152321213,9.441827711537991
8,2.0,7.5828299598585645,6.550384647025412,13.194145329789421,10.781260051447305
9,2.0,7.853489799026906,7.3345267495241,14.40881032171171,11.773792635102902
10,2.0000000000000004,9.567483100192142,8.75881399247305,14.498480199427261,11.847064093486043
11,2.000000000000001,9.727067106066526,9.609971531490231,15.380953226288623,12.568154467524845
12,2.000000000000001,13.64465338879975,14.248206341446096,16.83529866995705,13.756535832206762
13,2.0000000000000018,13.682485003927402,14.535308193106296,18.01338658163497,14.719180385665615
14,2.000000000000002,15.271312739089637,15.96097638502906,18.736892390318594,15.310374743252337
15,2.000000000000003,15.405254805947278,16.050180351878428,19.96032070034834,16.31006804926384
16,3.999999999999997,27.31823156159071,18.867183955848986,20.26885625009154,16.562180021184247
17,3.9999999999999973,28.443119455429915,18.910809728951925,21.69521631148045,17.727693842993713
18,3.9999999999999982,28.50065648212507,21.350713334442872,23.275517017416234,19.01899634454431
19,3.9999999999999982,28.893453697797074,21.998323512525946,23.737977981659817,19.396884551361026
20,3.999999999999999,32.67888041066368,22.219075526055857,25.308448240751463,20.68015435346809
21,3.999999999999999,32.9318140430571,22.34330626610874,26.336503426142304,21.520203483131155
22,3.9999999999999996,33.33340772433404,22.570374527711007,26.9414405125259,22.01451242698834
23,4.000000000000001,33.86546563095013,22.966679420966624,28.193332151255476,23.037463817625444
24,4.000000000000001,37.06066410693066,24.68136745499632,30.21603408000022,24.69026321882086
25,4.000000000000001,37.09871135753336,24.98064545440591,32.74159846927348,26.75396388126191
26,4.000000000000002,37.19363229791268,25.116771159259546,33.31573697759193,27.223106550909126
27,4.000000000000002,37.72878356375963,25.87839033143194,35.188157506286466,28.753107330872233
28,6.0,39.21216901945714,36.53766878165677,35.51038587154179,29.016408038491914
29,6.000000000000001,39.802996283940665,36.732877281936815,36.99416273707137,30.228838540487228
30,6.000000000000002,40.82223450330485,43.85587298899526,46.999026926741664,38.40405867882489
31,6.0000000000000036,41.114545127912955,44.27758948986139,51.928868021946506,42.43235286016249
