k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-1.4702201511867094e-14,-1.4450764674116094e-14,1.4875662323212392e-13,2.4852559924294984e-14,2.720046410331633e-14
1,-9.222687907469935e-15,-3.7890950370195124e-15,0.4458439628411316,1.4586271555289594,2.3583490077833327
2,-8.914964571963736e-15,6.217248937901219e-15,0.6709557310543595,2.981424850565559,3.39904925967528
3,-7.437784551557114e-15,2.0682350365310614e-14,0.9393561481045362,3.1201461173466933,3.5926081733797295
4,-7.182618982980747e-15,1.999999999999974,1.8963299789501993,3.416611282791613,4.340363761441003
5,-7.129210984698603e-15,1.9999999999999947,2.033282709819536,3.867842296569294,4.433236953416522
6,-7.10545591872265e-15,1.999999999999999,2.110432516413098,4.1338857365907735,4.466731326345993
7,-5.5580904074589515e-15,2.0000000000000018,2.157469916352586,4.252906980002656,4.532441573223169
8,-5.346113438337331e-15,2.504979907186305,2.2777639373290692,4.318066548066731,4.7042451520000075
9,-5.121849096655441e-15,2.504979907186343,2.31900281611845,4.339426617685106,4.907662818012191
10,-4.8957919479075475e-15,2.5049799071863457,2.463376953795839,4.681851013608075,5.0077897529897335
11,-4.019892281744962e-15,2.504979907186371,2.696408060991356,4.7426342336711365,5.149983984834344
12,-3.45900545719821e-15,2.5952245947451504,2.7644635591221345,4.849555850945668,5.210075488627185
13,-3.0892706375787043e-15,2.5952245947451624,2.7819718885006446,4.909954688539783,5.288728109823594
14,-2.2069268331492427e-15,2.595224594745164,2.996626585537985,5.082511139591467,5.421208116454467
15,-2.1146769651759693e-15,2.595224594745174,3.5660310564074336,5.119840732485595,5.531111325342737
16,-1.80341366711157e-15,2.7019045337027796,3.697468614865567,5.1749481678815785,5.6403545346495445
17,-1.562420431780674e-15,2.7019045337027823,3.999999999999924,5.2517570625637795,5.793850251711987
18,6.854804571118363e-18,2.7019045337027836,3.9999999999999387,5.258562040150999,5.837801940093041
19,4.412830896954662e-17,2.7019045337027863,3.9999999999999463,5.36674265810031,5.9753022800001245
20,2.2012156164255787e-16,3.837592513764408,3.9999999999999467,5.513947584912402,6.005025471942676
21,3.127504727105252e-16,3.837592513764442,4.000000000000018,5.584728875454723,6.105275766960262
22,3.9170987298862753e-16,3.8375925137644664,4.000000000000021,5.663943201271928,6.183130270023557
23,9.381570067472904e-16,3.8375925137645415,4.0264910317265175,5.714948413084252,6.204543114082709
24,3.1171426789635045e-15,3.9999999999999676,4.130781539987521,5.846078801718122,6.3100982333235205
25,3.561782833816463e-15,3.999999999999994,4.13520535581129,5.86014160709991,6.341143872421088
26,3.572479240552708e-15,3.999999999999994,4.1694438666903615,5.955803370865796,6.369009615065257
27,3.792798304822223e-15,4.000000000000002,4.2303160133476565,6.004412978212557,6.382699045587386
28,5.182096719194229e-15,4.183511620226165,4.315666933474823,6.0506382426230445,6.4676291603118585
29,5.346826972816301e-15,4.183511620226174,4.327074810993042,6.153667737322804,6.56898103441313
30,5.448259570216843e-15,4.183511620226179,4.391537817289027,6.184667360961691,6.619079067705732
31,5.876599446637661e-15,4.183511620226197,4.726499826539882,6.226916010224953,6.650120611983484
32,1.9999999999999833,4.233827099950491,4.828627768072663,6.350758439974696,6.715581337109095
33,1.9999999999999851,4.233827099950508,5.007158013972745,6.358561059224829,6.795526965529381
34,1.999999999999987,4.233827099950512,5.022967841279784,6.434031989096421,6.835383022260219
35,1.9999999999999871,4.233827099950525,5.314928374392913,6.54800771979051,6.884543685277075
36,1.9999999999999885,4.402652529911018,5.464574062285301,6.578269359166363,6.935984984481857
37,1.9999999999999887,4.40265252991103,5.518194197985143,6.63315248050549,6.97986584399366
