k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,-7.318590178329032e-13,-9.663381206337363e-13,-2.2737367544323206e-13,-4.547473508864641e-13,-4.06212876899014e-36
1,5.999999999999936,7.999999999999989,51.30539818797983,165.9894440104324,155.73384314055113,97.62281176443064
2,5.999999999999972,10.00000000000005,52.730442142855004,168.78462793004377,162.7642345116373,101.86135360702508
3,5.999999999999996,12.000000000000144,58.62919221195232,169.19898094355005,176.0236920448053,108.10008281101851
4,5.9999999999999964,13.345200658071253,60.72572807518975,173.8503844303969,176.36736824070732,113.1665918519512
5,7.9999999999997975,13.999999999999702,63.11714788606663,175.738774229301,178.39252243679502,114.22584008564756
6,7.99999999999985,14.00000000000008,66.48127627437208,177.45756617265457,178.57773072354587,115.27378441536575
7,7.999999999999851,15.332253714907154,68.69488494553933,180.92405768396623,178.9135468175375,116.13017776468304
8,7.999999999999901,15.681588322534422,73.73257088732078,182.74139241491997,182.32216604372016,117.19823845854579
9,7.999999999999918,15.751875957644181,82.93391044389512,183.16947940089622,184.65655617139484,120.73510934616081
10,7.999999999999923,15.765146868166347,88.01226398370238,183.42832296674126,184.81312319798974,122.18694001431022
11,7.99999999999993,15.999999999999822,91.70914804746246,183.98212702440375,185.9221376910132,122.54688200528102
12,7.999999999999967,15.99999999999986,92.25261011538107,186.09032624246657,186.52069322058497,123.5575736214641
13,7.999999999999971,16.913933384709214,93.81044021458416,186.3779365226245,186.70949329616917,123.97500082151204
14,7.999999999999972,17.00669233272834,96.35815722881256,186.6842481496946,187.00072675053357,124.12241781952052
15,8.00000000000001,17.271446581090157,97.00263251351446,187.35685131944734,187.22295371756323,124.91673791763304
16,8.000000000000014,17.512620471665574,97.79898723896169,188.6560936971561,187.43801016610522,125.97982686488555
17,8.000000000000018,17.521316216299642,98.1591451838202,189.15579498875948,187.70110297550636,126.76768887453728
18,8.000000000000023,17.52979867163308,99.6732751141322,189.6460681724664,188.18386681906648,127.64005243069529
19,8.000000000000036,17.682013974215643,101.55411186265322,189.76936807509753,188.53408788929858,128.04131957443067
20,8.000000000000039,17.737247876572404,102.6463712388086,190.106008289628,188.78363117968982,128.65681091522976
21,8.000000000000075,17.99999999999996,104.80691680154604,190.36634559648982,188.96163738237857,128.8472774977051
22,9.999999999999885,18.000000000000238,105.74137218558441,190.8823681814636,189.20864340799645,129.23336591288964
23,9.999999999999904,18.000000000000686,105.85769127219045,190.9192033504713,189.51499584852024,129.81586000956057
24,9.999999999999906,18.28911528746909,107.59314585248872,191.208839369611,189.93904233414844,130.03730702565014
25,9.999999999999915,18.89096266855034,108.23539432645035,191.29610672208742,190.27426529277207,130.18654283906505
26,9.999999999999924,18.979059883611015,108.97440811153191,191.61373332410616,190.60084660874477,130.60288937195213
27,9.999999999999925,19.27491338792024,109.5589343954798,192.03245909346197,191.09835362879275,130.81119778600132
28,9.999999999999929,19.279303450091202,110.89010333658818,192.17738907965324,191.70435347660944,131.30181999444437
29,9.999999999999945,19.280039837073637,111.53420105930235,193.07911889788804,192.00704265223425,131.6218084978311
30,9.999999999999947,19.28773553169356,112.13447105211858,193.29633981856756,192.08804884250137,131.85935154880838
31,9.999999999999952,19.598390582276355,112.47502754845567,193.68354477904379,192.55742972662367,132.08594240948452
32,9.999999999999961,19.663030926572144,115.34944766155064,194.1990284277675,192.86863387794713,132.61265872923167
33,9.999999999999963,19.681025184357008,116.57533736816396,194.73279571639338,193.34402781740874,132.75906006475242
34,9.999999999999966,19.696884022176366,118.39398195393983,195.27118820079738,193.68082269922346,132.96598731991804
35,9.999999999999972,19.741061106259043,119.76785917120398,196.02717766219703,193.95817640196992,133.3086064110317
36,9.999999999999973,19.975212496249465,120.49958996891702,196.38887397150194,194.24718400838373,133.54325119033976
37,9.99999999999999,19.9941546213445,120.76244393365097,196.70878501444435,195.15656182259733,133.9507197984617
38,9.999999999999991,20.000000000000075,121.26767313289422,197.12481235012729,195.44411875013014,134.2732916311573
39,9.999999999999996,20.1158134708024,121.92635855908513,197.40664315930513,195.60650230602977,134.55023850623866
40,10.000000000000004,20.12868297317626,122.89764927104919,197.47337147018615,196.05146676782832,134.834518939769
41,10.000000000000004,20.262773411688393,123.62090173539104,197.9140820944277,196.26155973075413,135.85150700570568
42,10.000000000000007,20.284667592090027,124.10566709292448,198.4245502246679,196.48546053346772,136.2137034829136
43,10.00000000000001,20.984660293931274,124.85795187757591,198.65827598044007,196.60494948521966,136.54390846152572
44,10.000000000000014,21.02583223887993,126.20549204777603,198.93696337152988,196.8287730511537,136.70561696114328
45,10.000000000000018,21.311281840532487,126.75255019436176,199.11052074390534,197.2533522744574,136.79447614218785
46,10.000000000000018,21.622354811161454,127.6619699107969,199.18141674672012,197.5694629608364,137.04902843832136
47,10.00000000000002,21.639249863550493,127.95472627106196,199.56420847526718,197.81030330614647,137.22753190986992
48,10.000000000000021,21.64478150658623,128.80750315693487,199.67683609937703,198.0080343837873,137.46143055760797
49,10.000000000000028,21.663220043354727,129.05376971176602,199.9740101268278,198.31706989004815,137.7971821945947
50,10.000000000000043,21.71852735680736,129.67672477936975,200.13858706840134,198.40280930344755,137.88506167244356
51,10.000000000000046,21.734091432792795,129.85196560096162,200.35528228249112,198.6607260200707,138.12495974404257
52,10.00000000000005,21.766960952353994,130.8630133052025,200.5604282479626,198.71897843892359,138.17936810019592
53,10.000000000000082,21.954812147090657,131.40841692654746,200.68612819747398,198.96762211009445,138.38996816073634
54,10.000000000000082,21.977712468642576,131.8598227942795,200.77666630862714,198.99405688158737,138.48735157784358
55,10.000000000000083,21.99999999999972,131.93756260897098,200.98793277201608,199.19657348789463,138.69437153108086
56,10.000000000000092,22.000000000000927,132.27873523808304,201.232735031197,199.32387136180427,138.82225392653547
57,10.000000000000098,22.00477673048546,132.6066404886044,201.38885639309353,199.54123532501458,139.1300075913382
58,10.000000000000105,22.212818197570947,132.83910528389202,201.58382888161745,199.75129050672402,139.34433196368852
59,10.000000000000105,22.26648954027622,133.54505518602753,201.69421842241385,199.85270136741985,139.46133813371623
60,10.000000000000117,22.80242538759658,133.74622920537485,202.08148850440975,199.87057106929169,139.63756330415737
61,10.000000000000137,22.86380766795651,134.43765664517448,202.2608666588313,199.9415125240791,139.73934636641619
62,10.000000000000203,22.958547856770902,134.8507729466134,202.42653308076174,200.18566604055414,139.93755715082546
63,10.00000000000021,23.191593767672448,135.2121180076186,202.56415258039448,200.3636351546945,140.2248095197615
64,11.999999999999787,23.289902595983346,136.31812301219614,202.66835633354913,200.49982988853054,140.3823768648649
65,11.999999999999833,23.37397982387625,136.67599211087204,202.7156115782752,200.5739295571884,140.626794427286
66,11.99999999999984,23.413900639819158,136.74130349993465,202.98608333001226,200.64486592906104,140.81337500359948
67,11.999999999999847,23.470407360163716,137.16241012200058,203.00769762511734,200.77864150750028,140.9304763560428
68,11.999999999999853,23.482928279647595,137.5757949020851,203.22218780154373,201.02682028824736,141.20910170988213
69,11.999999999999872,23.587699327027053,137.82644740278823,203.3972918367309,201.183744693233,141.28871726719825
70,11.999999999999876,23.58806871077537,138.5509136841361,203.5891845886978,201.32515629229627,141.37726707936343
71,11.999999999999876,23.624556869041307,138.68609233547213,203.77711992016089,201.45065013427376,141.65245030967614
72,11.99999999999989,23.65827522849382,138.99656623004836,203.92532779467578,201.52291824879904,141.78460356141025
73,11.999999999999897,23.937035760527756,139.5771040964569,204.08356935711166,201.64745450604806,141.8384175241152
74,11.9999999999999,23.97264021364635,140.10055396145907,204.5156866076364,201.7553330911862,142.08499450388763
75,11.9999999999999,23.99999999999997,140.90959950025456,204.81128763842543,201.90124378576695,142.1450428597322
76,11.999999999999917,24.000000000000323,141.13502185495753,204.88457175966946,202.07967286190564,142.19230106745732
77,11.999999999999918,24.015557327059366,141.36801355829655,205.16078262088965,202.14565233662745,142.5439262417733
78,11.999999999999925,24.158758769085782,141.80325733482692,205.27640202625312,202.2397647251443,142.6547709629414
79,11.99999999999993,24.270513001489746,142.46027228925956,205.36561268281497,202.3468658014157,142.7024935849458
80,11.999999999999932,24.426440479658794,143.25070497747083,205.6347230262696,202.6253356255303,142.77787134873643
81,11.999999999999932,24.696075409496242,143.42914927668133,205.88040181236457,202.75059347216762,143.12923283482252
82,11.999999999999932,24.760184137471107,143.48671516826266,206.1179317835518,202.82697671848916,143.29250910431287
83,11.999999999999938,24.86030482842475,143.95709300309784,206.18503222101162,202.95132094151472,143.39619003177094
84,11.99999999999994,24.966343434970074,144.40417854419172,206.44802460466798,203.11564073073367,143.6540668339655
85,11.999999999999948,25.135767492306673,145.01270708824222,206.67213047655378,203.21720200564963,143.84461581515131
86,11.99999999999995,25.161913952685854,145.41986524800305,206.77962327912977,203.34331071187913,144.17502043461565
87,11.999999999999954,25.20306774671406,145.63972780296655,206.8454429389603,203.472802642315,144.490933596779
88,11.999999999999956,25.256785965336714,145.80616500219787,206.97361822163245,203.62383099479075,144.69778168277253
89,11.999999999999957,25.283539278555168,146.23048160658718,207.13819214493986,203.66990565001362,145.02225784881807
90,11.999999999999957,25.304524901260457,146.4060616858356,207.39330041080672,203.79716746026435,145.1737847643363
91,11.99999999999996,25.39604146525672,146.74637376626384,207.61376143960916,203.84385980336648,145.32277095537717
92,11.999999999999961,25.615741604934883,146.80164665642877,207.66166766688323,203.93739476033667,145.38871066924395
93,11.999999999999961,25.679062850893004,147.2091481074618,207.77597265700894,204.00301588255928,145.74760307073566
94,11.999999999999963,25.68192828115187,147.5813479282793,207.94548491621396,204.1176122222995,145.86641256563945
95,11.999999999999964,25.805523733877965,147.75819015141053,208.0453860701905,204.2329607874631,145.99868698233823
96,11.999999999999968,25.92673303361879,148.26369189078974,208.14848451301728,204.44045174295883,146.29747507959482
97,11.99999999999997,26.011122808551857,148.50814451982617,208.29694313302454,204.48075299074168,146.36502361289888
98,11.999999999999972,26.164130951797937,149.15256859460538,208.51156489435073,204.57524574611747,146.62536113441516
99,11.999999999999979,26.23950798483738,149.25888053226618,208.59028698179142,204.62928167869674,146.85886196663824
100,11.999999999999979,26.29930397826615,150.10439147264572,208.6528391657657,204.6998517592882,146.9563259730805
