k,skeleton_graph,definite_order_perturbed_graph,random_order_perturbed_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,2.1316282072803006e-14,-5.684341886080802e-14,-4.547473508864641e-13,-3.410605131648481e-13,3.3349113265834437e-12
1,5.999999999999936,7.999999999999476,55.19585242829663,158.71243671926737,211.53169753861374,136.37285457701347
2,5.999999999999972,9.999999999999723,61.313296044008894,172.507056605353,216.15124093507032,143.81165947095738
3,5.999999999999996,9.99999999999981,71.51129756317476,189.64319166562794,216.532008705472,149.78883253082137
4,5.9999999999999964,11.999999999998982,80.40766479704813,191.00211586832762,221.7764676010271,157.64346309129812
5,7.9999999999997975,11.999999999999636,80.50889717674438,191.17524286343084,224.26883211255716,157.99803839790582
6,7.99999999999985,13.999999999999405,82.86683748988679,200.53289062881515,226.73947877463087,161.09326386799037
7,7.999999999999851,13.999999999999691,89.18773417768324,201.00575521039985,227.54656848247527,161.4491119538882
8,7.999999999999901,13.999999999999778,98.57731518495801,203.31905465931794,230.79113022580555,161.72332523941907
9,7.999999999999918,14.000000000000146,98.68823871970459,204.43949793617264,234.7488883429934,162.05255714378464
10,7.999999999999923,14.000000000000501,104.25026156086813,205.2922485525753,236.39284481775746,163.30163635903278
11,7.99999999999993,14.000000000000616,109.68033266843415,206.32169732681385,238.46749227352757,164.23652311804787
12,7.999999999999967,14.000000000000657,112.88506222687153,207.16528926904772,239.0767458441615,165.52942045729023
13,7.999999999999971,14.000000000000687,115.32826531175229,207.5169486868001,239.28006568866294,165.69218703201315
14,7.999999999999972,15.999999999999465,117.77771434036045,208.61473873553416,239.74485862903666,167.46823225755293
15,8.00000000000001,15.999999999999739,123.14196341144594,209.10751306275114,240.04331610198957,168.45139310399932
16,8.000000000000014,15.999999999999842,125.43992301999299,209.77474715722317,240.24016041642147,168.9068288769796
17,8.000000000000018,15.999999999999938,128.3227956172678,210.76809755333625,240.29632371848814,168.96270662319225
18,8.000000000000023,15.99999999999994,129.34740737910454,210.94967415478771,241.18242250252388,169.58717482168962
19,8.000000000000036,16.00000000000002,131.14844139066216,211.78828735960224,242.76121303739674,171.10956316989282
20,8.000000000000039,16.000000000000277,131.86939111712832,212.2476851892726,243.52986285249034,174.00419391654205
21,8.000000000000075,16.000000000000334,132.0912662341901,212.9964257227047,244.56019613148453,174.27069611165038
22,9.999999999999885,16.00000000000056,132.66505035399368,214.46468648297457,245.35629966197814,174.4284194364309
23,9.999999999999904,16.000000000000917,134.7850527076808,214.96231792394278,245.5994145070406,174.66649514253288
24,9.999999999999906,17.99999999999856,137.2198378936502,215.563164653252,246.0350222350036,174.97587587865297
