k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-1.5421103766703184e-14,-4.910136222545252e-14,-6.291999325744802e-14,-3.9968028886505635e-15,-9.769962616701378e-15
1,-1.1555912532149082e-14,-1.0564152703037728e-14,-3.978472562683418e-14,4.0261124064982546e-14,1.267562443896253e-14
2,-1.0021835911914072e-14,-9.349109212800097e-15,2.3766781086243488e-14,1.0578308700530341,1.9806216873952145
3,-8.90781179225503e-15,1.0037341456495148e-15,3.873934676587975e-14,1.281551202614605,2.0123326116653053
4,-6.546809936733494e-15,7.879705082573004e-15,6.969163926398489e-14,1.5278730398399496,2.023947542723938
5,-5.5906357788453005e-15,2.9983938526797235e-14,1.1439490741465383e-13,1.8662951375298964,2.0998153568808147
6,-5.066105143378847e-15,3.930153631122356e-14,0.8212050154172195,2.069287534515982,2.1974917660656814
7,-3.7407881106792125e-15,7.954749116015184e-14,0.8212050154172422,2.091816715514953,2.240966436783698
8,-3.555597040559924e-15,1.4675217227328974,0.8212050154173104,2.1043797279287895,2.2709414652363615
9,-2.6931359064022986e-15,1.4675217227329027,1.046076078559189,2.1698736270093053,2.3350326964963015
10,-1.821430873256615e-15,1.4675217227329143,1.0460760785591912,2.183045283434294,2.4775415832080054
11,-1.3612855454718373e-15,1.4675217227329298,1.0460760785592138,2.2804675178996625,2.5889704135605176
12,-7.012539920024137e-16,1.4774752114720648,1.9999999999999842,2.340834299007295,2.6669047915864414
13,-3.4032910153237085e-16,1.4774752114721084,1.9999999999999858,2.374197755368527,2.6999761294155302
14,1.8689464825523038e-16,1.4774752114721155,1.999999999999986,2.4206637307821643,2.7775403886260177
15,2.220446049250313e-16,1.4774752114721594,1.9999999999999893,2.462574748054208,2.784232653843162
16,4.036714914009192e-16,1.999999999999892,1.9999999999999913,2.4752942403020044,2.810714790948507
17,8.169647242161637e-16,1.9999999999999103,1.9999999999999913,2.530654865681808,2.9277228280591023
18,9.328707199023035e-16,1.9999999999999378,1.9999999999999931,2.5553446613518607,2.9445647089211007
19,1.78535690370723e-15,1.9999999999999722,1.999999999999997,2.5675425405555456,3.1038940098980383
20,2.6200754877356385e-15,1.9999999999999771,1.9999999999999978,2.6056597011197575,3.129362598946976
21,3.3235667718495296e-15,1.9999999999999802,1.9999999999999991,2.6471491089586263,3.222224798629913
22,3.573364372483993e-15,1.9999999999999805,2.0000000000000027,2.657486913723349,3.2527934445917013
23,4.269100750611963e-15,1.999999999999983,2.000000000000003,2.723681459139718,3.269181006171811
24,5.340674876784539e-15,1.9999999999999851,2.000000000000004,2.7980761826843445,3.3061325974048192
25,6.183019294490415e-15,1.9999999999999896,2.0000000000000053,2.8396334181317675,3.3423007727118095
26,6.189429577213093e-15,1.9999999999999916,2.000000000000006,2.901318026100272,3.3636334579067393
27,7.953901306551583e-15,1.999999999999996,2.0000000000000075,2.9075407139983804,3.402594319205411
28,8.770660646238384e-15,2.0000000000000027,2.000000000000008,3.065670889762684,3.4243195521305223
29,8.919977920350629e-15,2.000000000000007,2.0000000000000133,3.1140795455677135,3.446232164821708
30,9.917666400972786e-15,2.000000000000008,2.598570265361243,3.1413014663090424,3.474426896116842
31,1.2445729104851752e-14,2.0000000000000093,2.5985702653612486,3.1573396215106064,3.5298940305885167
32,1.999999999999989,2.000000000000014,2.598570265361281,3.232850840037251,3.5446725689869414
33,1.9999999999999896,2.0000000000000235,2.6086734087981647,3.2546367706445367,3.5767922806904955
34,1.9999999999999905,2.0000000000000315,2.6086734087981966,3.324453369303516,3.600079972029118
35,1.9999999999999913,2.0000000000000453,2.6086734087982064,3.3551443260582774,3.6407575371652348
36,1.9999999999999916,2.463909424692052,2.717335168006338,3.3736356644006626,3.658084753708148
37,1.9999999999999925,2.4639094246920608,2.7173351680063673,3.3973797079346375,3.7224191075223856
38,1.9999999999999925,2.4639094246920665,2.71733516800637,3.445518677846688,3.7806735978994075
39,1.9999999999999933,2.4639094246920696,2.9698588035524334,3.491054756337546,3.7849627539273687
40,1.9999999999999936,3.266627210537392,2.9698588035524445,3.554153211634962,3.8098358896222564
41,1.9999999999999936,3.266627210537409,2.9698588035524685,3.5935901784264557,3.824382262001465
42,1.9999999999999936,3.2666272105374317,3.2769201561954673,3.6104794233520945,3.878297256377741
43,1.9999999999999938,3.2666272105374605,3.276920156195498,3.635132518269961,3.895505985441614
44,1.999999999999994,3.2812475727827803,3.2769201561955295,3.6696720578344184,3.9082914642686553
45,1.9999999999999942,3.2812475727827843,3.603765984305734,3.7350698113865244,3.9500080141921456
46,1.9999999999999944,3.28124757278279,3.6037659843057384,3.7711265996700254,3.975864181763266
47,1.9999999999999944,3.281247572782794,3.6037659843057748,3.78171470264465,3.9888924049638756
48,1.9999999999999944,3.3590727602511623,3.620197771850534,3.824122277657072,3.9986161080360674
49,1.9999999999999947,3.3590727602511805,3.620197771850545,3.838200322703976,4.050594804712558
50,1.9999999999999947,3.3590727602511876,3.620197771850552,3.8874852785534553,4.087224112257575
51,1.999999999999995,3.3590727602511894,3.7355330004064418,3.9401292082114066,4.135825011103899
52,1.9999999999999951,3.5662035107361367,3.7355330004065253,3.965865874033693,4.178527686490122
53,1.9999999999999951,3.5662035107361434,3.735533000406531,4.008942836010313,4.227216053304154
54,1.9999999999999956,3.566203510736155,3.871517353951889,4.045018082965936,4.237821990767216
55,1.9999999999999956,3.566203510736159,3.871517353951918,4.074150125457535,4.2921024697301915
56,1.9999999999999956,3.8436951761502467,3.8715173539520054,4.088554554700746,4.350635194152543
57,1.9999999999999956,3.8436951761502622,3.999999999999982,4.163770946123879,4.406835874848428
58,1.9999999999999958,3.843695176150265,3.9999999999999845,4.179159240489376,4.433271527756442
59,1.9999999999999958,3.8436951761502725,3.9999999999999862,4.2062921201153545,4.503496010690977
60,1.999999999999996,3.999999999999959,3.999999999999987,4.2353159968854985,4.540459611304992
61,1.999999999999996,3.9999999999999716,3.999999999999992,4.296085405128719,4.548766127843367
62,1.9999999999999962,3.9999999999999787,3.999999999999993,4.321597326807804,4.574039773570725
63,1.9999999999999964,3.99999999999998,3.9999999999999933,4.362555030747152,4.610421418244504
64,1.9999999999999964,3.9999999999999805,3.9999999999999942,4.402480985791874,4.677532934252159
65,1.9999999999999967,3.999999999999985,3.999999999999996,4.464576534601541,4.717396635476378
66,1.9999999999999971,3.99999999999999,3.9999999999999982,4.4919372444325285,4.755428347958763
67,1.9999999999999971,3.9999999999999973,3.9999999999999996,4.539645752228468,4.789435689982578
68,1.9999999999999971,4.000000000000002,4.0,4.5533820421066205,4.7999390245634
69,1.9999999999999973,4.000000000000002,4.0000000000000036,4.602871630036334,4.887338628668495
70,1.9999999999999973,4.000000000000004,4.000000000000004,4.634502486212513,4.932363952409298
71,1.9999999999999978,4.000000000000006,4.000000000000005,4.681052433739149,4.959312695178163
72,1.9999999999999978,4.00000000000001,4.000000000000007,4.682387625204352,4.962475239986418
73,1.9999999999999978,4.000000000000013,4.000000000000011,4.716094759197284,4.979268908721147
74,1.999999999999998,4.000000000000026,4.000000000000018,4.7436369953535475,5.063006283312116
75,1.999999999999998,4.00000000000003,4.379894846773803,4.8031319839156055,5.085424818540885
76,1.9999999999999982,4.000000000000041,4.379894846773835,4.834897681318155,5.127458927958871
77,1.9999999999999982,4.000000000000043,4.379894846773842,4.8682904489463885,5.153608253043408
