k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,-3.659295089164516e-13,2.8421709430404007e-13,1.1368683772161603e-13,3.694822225952521e-13,1.4220089000630334e-12
1,5.999999999999936,7.999999999999785,29.065408110481137,81.521624930825,96.94804931714182,62.802709600463075
2,5.999999999999972,9.999999999999416,31.00233348308596,93.23101431904608,103.73656945528299,63.24120818422469
3,5.999999999999996,9.999999999999979,42.21036855530156,94.04268364132474,113.28196558676439,72.63264727389006
4,5.9999999999999964,11.999999999999947,44.032163144894014,94.79841488874251,114.2783687048373,81.56443950085584
5,7.9999999999997975,12.000000000000131,47.23345811005361,95.826193128232,115.65659271600421,83.51639774500336
6,7.99999999999985,13.999999999999533,48.29764234135542,97.23717419724167,116.1759920700045,83.91187551498543
7,7.999999999999851,13.999999999999766,51.84306094929515,97.67419703849288,116.49860194855694,84.90147496620237
8,7.999999999999901,13.999999999999794,54.48931580145194,98.2432624608356,117.02770601983758,85.1183202857957
9,7.999999999999918,13.999999999999828,55.924286861520656,98.43465461898651,117.38392085169258,86.01546427043304
10,7.999999999999923,13.999999999999908,56.673358432920445,99.56244303249585,118.10582673013388,86.28194801593247
11,7.99999999999993,13.999999999999984,57.488567678409765,99.69329230322722,119.86867825637273,86.48460880325766
12,7.999999999999967,14.00000000000026,57.88394904166238,100.33279484266457,120.10704674079689,86.58302960649522
13,7.999999999999971,14.000000000000991,61.8547392233552,100.58751820828246,120.51671981778367,87.58328238925102
14,7.999999999999972,15.793143877606889,62.56913693439146,101.7916087451987,121.5610564690869,87.97367233102969
15,8.00000000000001,15.824151372090641,64.04510655814678,102.53329969679451,122.07053912796924,88.07289488034462
16,8.000000000000014,15.829258099464582,64.40700468109816,103.04890928769989,122.5137407020203,88.18604804578524
17,8.000000000000018,15.864725009067744,67.6419089860953,103.37305050660294,122.94719266159956,88.7361985395629
18,8.000000000000023,15.999999999999517,67.97680634416618,104.48765004185526,123.35754167368451,89.0602017638081
19,8.000000000000036,15.999999999999812,69.40635164701328,104.58002270551248,124.12781390434894,89.34114089852739
20,8.000000000000039,15.999999999999913,70.94867349051653,105.30251276863225,124.51011090256327,89.52271584059295
21,8.000000000000075,15.999999999999915,71.17030567965223,106.0725911241714,124.75060106892143,89.74864877159237
22,9.999999999999885,16.000000000000036,72.26874482061493,106.24304923467899,125.02565727008124,89.80151099939927
23,9.999999999999904,16.000000000000036,73.690675515056,106.52319326114949,125.22738480411842,90.06866282235609
24,9.999999999999906,16.000000000000092,74.2465073878065,106.76198105105125,125.42805511576326,90.14000009599991
25,9.999999999999915,16.0000000000002,74.89993947499046,106.88737288179998,126.72247363180581,91.41714564131905
26,9.999999999999924,16.00000000000028,75.11888724609992,107.20766586563145,126.90200864127009,91.7300027600344
27,9.999999999999925,16.000000000000288,75.74341474758879,107.96007400483582,127.06633194154647,92.76872250367383
28,9.999999999999929,17.338356243126366,77.35818950460084,108.82485350354766,127.26623513601399,93.23847692343156
29,9.999999999999945,17.810603532361878,77.91602610407097,109.06269307922368,127.68549450790843,93.85456732890314
30,9.999999999999947,17.828496635464614,78.61289500901125,109.56410002950274,127.70867389566648,93.92191761298878
31,9.999999999999952,17.834852107247062,79.24498216560707,110.3290561731136,128.19929290035256,94.74117654114876
32,9.999999999999961,17.841134046204576,79.46788663281541,110.8584358219276,128.38327994097997,94.81523108717066
33,9.999999999999963,17.84130409316939,79.80948473729542,111.05757886361647,128.65409538412194,94.94294803830775
34,9.999999999999966,17.84477470409095,80.6856124878231,111.41870273075224,128.94198031319098,95.1110624550867
35,9.999999999999972,17.848205246990865,80.89405996838202,111.5420782402768,129.1047224122975,95.25394889344965
36,9.999999999999973,17.999999999999417,81.51705896682982,111.7384701410998,129.3497538792108,95.31525315526169
37,9.99999999999999,17.99999999999959,81.98327936864271,111.89566849704018,129.58253867134238,95.38212084998285
38,9.999999999999991,17.99999999999973,82.5419402680445,112.29369794780835,129.62281221911715,95.57772876399171
39,9.999999999999996,17.99999999999983,82.93711783607885,112.4162453827996,130.31858378751886,95.66073150508424
40,10.000000000000004,17.999999999999865,83.2447535455609,112.67438222654135,130.469385055569,96.01791161770988
41,10.000000000000004,17.99999999999989,85.26549773380462,113.08482665962305,130.55131568557528,96.09991608870187
42,10.000000000000007,18.000000000000025,85.41495798516851,113.30888190948026,130.61520080130884,96.15863428148882
43,10.00000000000001,18.000000000000075,85.53493655488698,113.60002426464956,130.83985190132992,96.23822073524872
44,10.000000000000014,18.000000000000153,85.72289195593525,113.76036208982384,131.20520236983197,96.42964092824175
45,10.000000000000018,18.00000000000052,85.94297405489577,113.97296277733889,131.40215624674514,96.56919871852789
46,10.000000000000018,18.228329145752234,86.80521491575101,114.14728932966453,131.52196849153404,96.63409283163183
47,10.00000000000002,18.264126324902293,87.028536265127,114.24862394718748,131.7928162256676,96.7974561325216
48,10.000000000000021,19.30478365859238,87.73161661504963,114.28400118480249,131.881192798155,97.1718152097679
49,10.000000000000028,19.370706423963757,88.19893505682683,114.42857489041408,131.94218444546578,97.21271429376773
50,10.000000000000043,19.761845683783108,88.52330029654843,114.64644062945135,132.47800675623918,97.50752043778681
51,10.000000000000046,19.769405132549107,89.0891051556684,114.92955363791465,132.62815088443455,97.62657260786942
52,10.00000000000005,19.7890699163685,89.38745523227567,114.94352488079296,132.68221668771787,97.9620258414562
53,10.000000000000082,19.789840237814882,89.4527109796553,115.18879733145211,133.180486909464,98.00727797902991
54,10.000000000000082,19.827601811807263,90.1383041838236,115.38526216313566,133.23215878842564,98.24937226246995
55,10.000000000000083,19.829585840808967,90.7320457663811,115.44566288311339,133.52759127624458,98.576465758971
56,10.000000000000092,19.999999999999226,91.23873350865736,115.56580850278438,133.59379004809472,98.64992609046928
57,10.000000000000098,19.99999999999937,91.57450140411143,115.71590878663369,133.86363784953554,98.7351105546623
58,10.000000000000105,19.99999999999969,91.68838251676901,115.82732727222711,133.99585226779095,98.95947162778181
59,10.000000000000105,19.999999999999755,91.90249355739614,115.91786138976467,134.20107711169146,99.15783050248127
60,10.000000000000117,19.999999999999922,92.25689391148717,116.12666163771767,134.3853790704,99.17947881244456
61,10.000000000000137,19.999999999999993,92.85525568202807,116.27765592677596,134.4932442733461,99.43723479672614
62,10.000000000000203,19.999999999999996,92.91739100343172,116.57385216260379,134.52859739877294,99.69600322221702
63,10.00000000000021,20.000000000000057,93.31234148449978,116.58586266978683,134.64468684977837,99.88029243499622
64,11.999999999999787,20.000000000000156,93.691415242524,116.78740244932222,134.7520989634067,99.89620901110705
65,11.999999999999833,20.000000000000245,94.51119728782413,116.85954034433263,134.83877354540454,100.08673276504493
