k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-5.185245786070795e-16,-3.380814440733007e-14,4.841603590657055e-14,8.047856371497247e-14,-2.362120712245434e-13
1,1.1466062852597212e-15,1.9999999999999565,2.000000000000022,78.41090363657219,50.75836077222782
2,1.9999999999999967,1.9999999999999922,3.3140642674705147,80.33665594695846,54.30004714984088
3,1.9999999999999996,4.000000000000013,3.936166905796607,84.40448087283747,60.22339046766659
4,2.0,20.15538569064481,4.827692124523505,94.19556482598706,64.51590606027676
5,2.0000000000000004,20.340121535396356,4.974236892795987,110.03720882666212,69.90620226965665
6,2.000000000000001,20.732946236122235,16.026644126660077,120.0530928429295,82.26054092596621
7,2.0000000000000018,20.961413924156894,17.1614860921231,126.02971367297847,91.95602205705818
8,2.000000000000002,24.612496767094697,30.087883883985565,131.06421900657904,94.20955990079294
9,2.0000000000000027,24.93258890172029,31.40351162744089,140.01791279265444,100.72885915948977
10,3.999999999999995,26.503447222243558,42.80135394016353,148.16042692986812,102.3752105703813
11,3.9999999999999964,26.564179286226764,43.84080643455635,155.2656794728599,107.29512900392682
12,3.9999999999999973,92.82771866961191,116.3626720693579,163.43493726168938,113.51899382923938
13,3.999999999999998,92.98028553263175,116.76696318779449,165.98042853158714,126.77332094927594
14,3.9999999999999982,94.0877071408252,154.27069654412176,189.73268639521004,131.35525126528805
15,3.999999999999999,94.20748403614134,154.56156274713743,195.24547315605253,137.8739356172358
16,3.9999999999999996,317.7971023593413,159.56395268492807,201.8839373600521,144.51971431000558
17,3.9999999999999996,318.5076259867645,159.64496668051677,225.03916628748584,146.7366351448485
18,4.0,318.7059538394648,169.92289847411843,228.86819848670592,156.10766907700537
19,4.000000000000001,319.3318163188151,170.06274643198677,234.9125300953412,158.73139001300834
20,4.000000000000002,364.0522621629296,188.97928694049529,244.245588385024,166.94543191339923
21,4.000000000000002,364.09202099926506,189.27912700380983,250.87670715428786,175.58431455699704
22,5.99999999999999,364.3706779054098,215.5120924818424,261.9476296491716,184.19340967971348
23,5.9999999999999964,364.5905876393772,215.926808269609,276.19254739460484,185.99250872377965
24,5.999999999999997,396.96496419601107,235.33744776244401,294.3519957942021,189.06950886352482
25,6.000000000000001,397.82700279437023,235.4116439139018,311.46508029971574,204.9480376959366
26,6.000000000000003,398.01718007080177,245.24732940264462,334.1503297910921,214.4680556545985
27,6.000000000000003,398.9695223299015,245.27543374518797,338.69163698348166,222.83758307560296
28,6.0000000000000036,437.99167411124597,316.32638829580105,354.53089910428594,237.4470586299287
29,6.000000000000005,438.0914250852777,316.74442913033323,368.52875453772936,253.3047546372158
30,8.0,439.726990249884,372.224364302919,439.0818257472966,287.5704384659163
31,8.000000000000002,439.82114450157144,372.5709959447208,490.3621747677244,291.53012613263206
