k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-1.5421103766703184e-14,-2.377265053874087e-14,-6.838973831690964e-14,-7.455266987740441e-14,-1.2492620709403238e-14
1,-1.1555912532149082e-14,-1.512167601964813e-14,-5.598584047768306e-14,1.1955741728388753,1.3350003148479272
2,-1.0021835911914072e-14,-4.385380947279567e-15,0.5343853040116453,1.6252504936253875,2.2637443044272847
3,-8.90781179225503e-15,3.124099066737144e-15,0.7125174090363273,2.4168414650528645,2.2808090926092746
4,-6.546809936733494e-15,0.0873946605172551,0.713948879709216,2.5653770827413243,2.4126656088725666
5,-5.5906357788453005e-15,0.08739466051727539,1.0914080483925457,2.912400898146669,2.4404295645746608
6,-5.066105143378847e-15,0.08739466051729822,1.1267759285733543,2.985446018871812,2.9096368725405517
7,-3.7407881106792125e-15,0.08739466051730678,1.1997245265703946,3.0292523906920343,3.0550193001292927
8,-3.555597040559924e-15,1.9999999999999538,1.3285049418405679,3.107246976992891,3.1959814240024604
9,-2.6931359064022986e-15,1.9999999999999885,1.3844298553184795,3.2137375323497848,3.2504247775258808
10,-1.821430873256615e-15,1.9999999999999898,1.5843333037862626,3.257773406952182,3.2889916521867475
11,-1.3612855454718373e-15,1.9999999999999913,1.7789999458642403,3.343246216695152,3.3702265774517763
12,-7.012539920024137e-16,1.9999999999999947,1.9999999999999363,3.3938284446993245,3.3815149416458854
13,-3.4032910153237085e-16,1.9999999999999971,1.9999999999999414,3.4277566326785376,3.4296823932035094
14,1.8689464825523038e-16,1.9999999999999984,1.9999999999999742,3.4525525453542247,3.527576687748252
15,2.220446049250313e-16,2.000000000000001,2.088211377087486,3.494251397551958,3.6655758163288596
16,4.036714914009192e-16,2.0000000000000058,2.0954058151505235,3.5288627332130096,3.848720403183151
17,8.169647242161637e-16,2.0000000000000084,2.1632963690710314,3.5537099135260686,3.9048492437761317
18,9.328707199023035e-16,2.0000000000000115,2.215479431360972,3.5910949209156815,3.964520620341558
19,1.78535690370723e-15,2.000000000000021,2.2304526534424256,3.6221631225877893,4.043723855435379
20,2.6200754877356385e-15,2.0849209143150804,2.349436841714005,3.643279338244382,4.104692218788731
21,3.3235667718495296e-15,2.08492091431509,2.3978041964668493,3.711857359950277,4.130563041487371
22,3.573364372483993e-15,2.0849209143151177,2.459353996646486,3.7334190938916825,4.148303226808745
23,4.269100750611963e-15,2.0849209143151577,2.4857056805640267,3.7807714652744076,4.1702288758985535
24,5.340674876784539e-15,2.1689942913611238,2.561073887695779,3.829348598201877,4.229845709878152
25,6.183019294490415e-15,2.168994291361156,2.6367481080542454,3.8426735358459636,4.277243498864081
26,6.189429577213093e-15,2.16899429136116,2.7470874965036223,3.909979971545656,4.297392118599026
27,7.953901306551583e-15,2.168994291361179,2.750281328139039,3.9428444739203257,4.331043060516727
28,8.770660646238384e-15,2.563394371055524,2.918872293783456,3.9515888754663724,4.387672432943151
29,8.919977920350629e-15,2.5633943710555243,2.944331378343285,4.020407852932999,4.415430104351484
30,9.917666400972786e-15,2.563394371055579,2.9817569446557766,4.052200806332027,4.46318340890944
31,1.2445729104851752e-14,2.5633943710555935,3.040260861513735,4.073014375321673,4.506858460715881
32,1.999999999999989,2.976975132736142,3.1657994688714073,4.1156022994742365,4.55513376543092
33,1.9999999999999896,2.9769751327361558,3.240626809838696,4.192229287428228,4.643718435028795
34,1.9999999999999905,2.976975132736176,3.26602194407361,4.222585503213216,4.66100314128449
35,1.9999999999999913,2.976975132736194,3.303604492447381,4.242670281072232,4.681653287531012
36,1.9999999999999916,3.0544664654500817,3.329615740225457,4.2991434028155595,4.72663386818655
37,1.9999999999999925,3.0544664654500884,3.4088767054587183,4.32023703190264,4.789250973956927
38,1.9999999999999925,3.0544664654501004,3.413808764954932,4.381456183121571,4.852935470321569
39,1.9999999999999933,3.05446646545011,3.430816747287332,4.418274976409308,4.8848494716551425
40,1.9999999999999936,3.9999999999999885,3.454103645554288,4.431502396718454,4.898685125653581
41,1.9999999999999936,3.9999999999999916,3.6458288607120166,4.471797072315671,4.953985251709321
42,1.9999999999999936,3.999999999999994,3.6531052400850546,4.536132760341164,4.98406866519106
43,1.9999999999999938,3.999999999999996,3.693418348439582,4.565211242089147,5.05388050826739
44,1.999999999999994,3.999999999999999,3.735738524545662,4.573406222350622,5.114527706726908
45,1.9999999999999942,4.0,3.7948712089276504,4.604917733092455,5.131949692021997
46,1.9999999999999944,4.0000000000000036,3.8571686057755885,4.636647216368959,5.172211727587264
47,1.9999999999999944,4.0000000000000036,3.8742362048419143,4.665094367865282,5.194643504398575
48,1.9999999999999944,4.000000000000005,3.8770602606011795,4.739768849254733,5.256028962808977
49,1.9999999999999947,4.000000000000008,3.899836909892088,4.773416449220103,5.306660223564407
50,1.9999999999999947,4.00000000000001,3.9829723999445954,4.829721431271358,5.318290339349017
51,1.999999999999995,4.00000000000001,3.999999999999979,4.893660932555463,5.334509621908279
52,1.9999999999999951,4.079817130307034,4.0000000000000036,4.932650946119464,5.419945145647747
53,1.9999999999999951,4.079817130307042,4.000000000000023,4.972327913212955,5.492735423241059
54,1.9999999999999956,4.079817130307068,4.017997659177252,4.997940938041716,5.500431750947057
55,1.9999999999999956,4.07981713030708,4.069744827935923,5.017699765164861,5.52888175363102
