k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,-2.4868995751603507e-14,-3.979039320256561e-13,-2.8421709430404007e-13,1.7053025658242404e-13,-1.1368683772161603e-13
1,5.999999999999936,8.308110534495807,16.432404755520054,60.17564770570506,67.7426459932864,24.111006927299396
2,5.999999999999972,10.000000000000231,18.967582572307208,62.83333486461362,76.00955220234152,37.29804507512021
3,5.999999999999996,11.87414038617589,19.426193974015973,66.42261189246959,80.97828169339276,42.54842819153643
4,5.9999999999999964,12.000000000000032,25.437231627055226,69.26784063823746,81.31829450585955,45.534592468182815
5,7.9999999999997975,13.818722960116638,30.07243677146481,70.527601676322,81.97905130312411,46.20372883765287
6,7.99999999999985,14.000000000000126,30.5264059312427,70.88203238508333,85.24468028849049,47.3985098775814
7,7.999999999999851,14.000000000000155,31.16267040815977,71.10247260061243,85.40732285386503,49.47321358139513
8,7.999999999999901,14.392259116296053,31.84451990250116,71.81494938559973,85.8390259109375,50.29670513209115
9,7.999999999999918,14.423889806408177,32.150165918184534,72.45483842425313,88.23120403297801,51.426745134451295
10,7.999999999999923,14.485361583777724,35.32327183393875,73.03883642684511,88.90349647884594,51.98873340311183
11,7.99999999999993,14.510127077271179,37.26950068284928,73.45563550993273,89.32285334721837,53.56285791390718
12,7.999999999999967,14.845987089400204,37.45964990251549,73.68491007445195,90.03056436461998,53.64258794059205
13,7.999999999999971,15.067705264474204,38.48272337963107,73.9801443988378,90.82478762691223,53.94989618495461
14,7.999999999999972,15.14387651042729,39.201151225644644,74.10433941207958,91.15780408634053,54.0589638289299
15,8.00000000000001,15.237033417381896,39.40770409518692,74.7915011633804,91.60409707715007,54.272292054333185
16,8.000000000000014,15.35392197253465,40.874715799875744,75.00962143343479,91.91784498575102,56.13461731418362
17,8.000000000000018,15.607813308673869,41.288489292054734,75.65746425809223,91.99124362143766,57.06446926867562
18,8.000000000000023,15.611406767162205,42.19489038340901,75.94459132401452,92.06401262579533,57.100419566807474
19,8.000000000000036,15.953621481277645,42.88113805404304,76.18860216566932,92.17774707675592,57.28355361133433
20,8.000000000000039,15.991534551527572,43.14724787135462,76.6561490053018,92.64893720770631,58.833527379488295
21,8.000000000000075,16.00000000000008,43.41831286522322,76.79299124794426,92.89663726378421,58.925806180508275
22,9.999999999999885,16.28840553585158,43.63670187142597,77.91155731374137,93.02694829726619,59.10364133746306
23,9.999999999999904,16.439312394847907,44.420256957367876,78.2769218675632,93.31180787468791,60.261562576809084
24,9.999999999999906,16.458886326722254,45.826808999886936,78.5492837593884,93.46161550941154,60.51047283518973
25,9.999999999999915,16.8761175196857,45.88749904231701,78.99470288848516,93.54173740735631,60.56262817412992
26,9.999999999999924,16.900147397889093,46.692500030023695,79.2218819973926,93.7031361625463,61.00871641807184
27,9.999999999999925,16.98000464367163,47.086679582109284,79.32313101786045,93.89748217346396,61.41059418585442
28,9.999999999999929,17.081134405457384,47.11802156937012,79.51149755336745,94.05926087232665,61.54923947576651
29,9.999999999999945,17.131214213807375,47.413558287218386,79.84450670580867,94.27847350195475,61.724300637172874
30,9.999999999999947,17.142640946022492,48.223001107400215,80.5283596920645,94.49536657133095,61.78606947261223
31,9.999999999999952,17.21836896520787,48.60120868584401,80.65943663532852,94.90616385313392,62.05407334696553
32,9.999999999999961,17.271198910496718,48.63262148559681,80.8328747177509,94.97360750796605,62.25502392026206
33,9.999999999999963,17.636253270270295,48.879961912992265,80.85269438827905,95.06922774958171,62.359667307692845
34,9.999999999999966,17.674550662659858,49.16477712568415,81.006594510949,95.0886271231194,62.514452717709545
35,9.999999999999972,17.687906985358623,49.96044994777384,81.19814195542844,95.21494355512418,62.68609107350509
36,9.999999999999973,17.71499030891358,51.050702427177804,81.24970163675722,95.43443417384435,62.81552414237583
37,9.99999999999999,17.720807566470018,51.58159872056605,81.39462975952607,95.55200208809785,62.92294787428725
38,9.999999999999991,17.856738731100013,51.65013608597858,81.51841653330888,95.70081775628503,62.97846199353979
39,9.999999999999996,17.86897511732894,51.927144669755045,81.62272096237783,95.84381647131924,63.036773762571244
40,10.000000000000004,17.961537775259078,51.981067057912114,81.72594041791707,96.03433661490992,63.251074449743655
41,10.000000000000004,17.99999999999999,52.65544400543892,81.98429443433913,96.33419046577474,63.26683670938538
42,10.000000000000007,18.01346874507226,52.71412609298013,82.00108117662712,96.56610617812201,63.37577119742888
43,10.00000000000001,18.166602493246227,53.4223251505616,82.14234778240227,96.6604778426596,63.49794211461184
44,10.000000000000014,18.266381730224495,53.61951593950022,82.18774392963532,96.82763364608999,63.88181821491056
45,10.000000000000018,18.306106975771346,54.080949173398245,82.36853327931179,96.9416530996846,64.10315564965876
46,10.000000000000018,18.369473737842107,54.251363576755686,82.48851009632044,97.05700560994671,64.28276212497096
47,10.00000000000002,18.439685944852172,54.77905828766406,82.49814697359098,97.24710026493938,64.45898143954558
48,10.000000000000021,18.46834077707427,54.99394522163367,82.59868219272836,97.26867540018314,64.70122082614225
49,10.000000000000028,18.509521267573795,55.09417198612089,82.74638438763235,97.44258199685245,64.83447350426144
50,10.000000000000043,18.58371849376521,55.143207093452794,82.84521096348965,97.45297220604176,65.02147263167285
51,10.000000000000046,18.701475547865215,55.339342507287164,83.0203724285908,97.56423493676907,65.08568892301152
52,10.00000000000005,18.785066416230343,56.19292140328654,83.09966638363207,97.70797261240398,65.17660700976442
53,10.000000000000082,18.873011101657006,56.34601239823006,83.1261958836548,97.74329997504589,65.30103530188715
54,10.000000000000082,18.906425374086968,56.690302421254934,83.43302642046099,97.94941201703058,65.4331141027175
55,10.000000000000083,18.90865597236996,56.92718642225497,83.63882386547179,98.07788697887122,65.61149110699266
56,10.000000000000092,19.030492393177543,57.10188272031653,83.76741240851507,98.37952872437381,65.67266550982403
57,10.000000000000098,19.04822167768987,57.13958890463113,83.8368982273302,98.50126992180246,65.80121181310282
58,10.000000000000105,19.06987083909483,57.623911158697624,83.95864344223875,98.68846695992654,65.81147968481835
59,10.000000000000105,19.072135994067715,57.7496944881835,84.10630554046284,98.69986082074944,66.03532309842636
60,10.000000000000117,19.11200835629261,57.78132693981018,84.28130034521682,98.82351902891864,66.1297104128905
61,10.000000000000137,19.202373613115874,57.94793926891184,84.4025141062416,98.85489629812068,66.1650486565067
62,10.000000000000203,19.690991283302104,58.208139045021824,84.43396940648131,98.89997103718036,66.31479066565525
63,10.00000000000021,19.800318018306427,58.48979278266176,84.59309766042638,99.00692498961902,66.42657142154013
64,11.999999999999787,19.814984349715175,58.90034605074202,84.62714921787637,99.1196743955715,66.46540392978845
65,11.999999999999833,19.86373017783585,59.01314906556752,84.72856928621431,99.26810424698776,66.49976878458199
66,11.99999999999984,20.00000000000003,59.29384952023783,84.7830848407511,99.34287164686059,66.61229494424184
67,11.999999999999847,20.211506047153975,59.36022364654278,84.898330942375,99.34786440468643,66.76459309291097
68,11.999999999999853,20.331258371635673,59.52690140398177,85.02525056260154,99.54765841179896,66.87192645437625
69,11.999999999999872,20.33290140993484,59.894484101975735,85.12419998908938,99.62328554253767,67.01584605035373
70,11.999999999999876,20.374913496672754,60.22761378684755,85.14558294536617,99.77902760481919,67.02576591358347
71,11.999999999999876,20.42674780917705,60.511147093323636,85.24312383285063,99.8454007652595,67.09797946783158
72,11.99999999999989,20.455229649336303,60.546544922671465,85.3928808587513,99.93804058583085,67.13758962947142
73,11.999999999999897,20.463257855571054,60.81187570062651,85.46999321267408,100.05835694420347,67.30229187745837
74,11.9999999999999,20.471825860251514,61.039257703322754,85.5075573573154,100.11690407292966,67.3645007695498
75,11.9999999999999,20.49480986058641,61.14014510527614,85.6287629164428,100.23784534932724,67.38923005683954
76,11.999999999999917,20.49879577898148,61.24041175320064,85.70446330152033,100.25905522785182,67.48713854119909
77,11.999999999999918,20.60666501477615,61.53363967666511,85.79401506056173,100.36312264180349,67.5463912347418
78,11.999999999999925,20.81910939958926,61.98562326358614,85.97303024349186,100.52034131654852,67.6029375530179
79,11.99999999999993,20.83800800171917,62.218593821713114,86.0153631648667,100.58807536583616,67.71612631754702
80,11.999999999999932,20.8564046503791,62.23035383944863,86.03549932139308,100.63044030062855,67.79100309733734
81,11.999999999999932,20.907460522015807,62.509934224398236,86.08625674658353,100.80283057923852,67.84093032336138
82,11.999999999999932,20.9107979133487,62.85633857173654,86.3041288212385,100.8192625710829,67.87088835756398
83,11.999999999999938,20.923099537432996,62.878418232833674,86.34512089434392,100.87090214139425,67.91807141989574
84,11.99999999999994,20.950983336701842,63.006388008711,86.38432850785196,100.93924480235002,68.06508201957277
85,11.999999999999948,20.988237795011774,63.05345179721407,86.45212425610119,101.05480222373384,68.15101657737323
86,11.99999999999995,21.045978566498416,63.164392669914825,86.571608079295,101.08875937904821,68.22918279495833
