k,skeleton_graph,definite_order_perturbed_graph,random_order_perturbed_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,-1.7763568394002505e-14,1.9895196601282805e-13,2.5579538487363607e-13,-2.5579538487363607e-13,-9.094947017729282e-13
1,5.999999999999936,7.999999999999959,24.845789680888114,68.59930886226029,74.5651386707197,48.90896654058265
2,5.999999999999972,10.000000000000066,26.943484343604926,72.04960202299472,84.81321974472199,52.94736422005891
3,5.999999999999996,10.000000000000098,35.812758494116416,72.2528411024974,85.7975836016856,56.484943968826634
4,5.9999999999999964,12.000000000000211,36.89815064945885,76.15020486112465,86.1676511449453,57.34799877855929
5,7.9999999999997975,12.000000000000279,38.84535314897548,76.48047452329644,89.87420098028717,58.39637503439714
6,7.99999999999985,13.999999999999556,39.33669085132733,77.76082599680088,93.2220190440219,58.807847023265225
7,7.999999999999851,13.999999999999691,43.35015208075049,79.11927585761504,93.59473579705292,60.023036407864666
8,7.999999999999901,13.999999999999988,45.10059201179378,80.29121383154836,93.79419516184868,60.67674420404228
9,7.999999999999918,14.000000000000046,45.57751477973658,82.03154085850096,93.88285721781594,61.965908928925124
10,7.999999999999923,14.000000000000046,46.58410325957439,83.0532123877851,94.28578669123561,63.01089452657105
11,7.99999999999993,14.000000000000114,47.66480772039161,83.9027529450557,94.50069114200407,63.42205519280419
12,7.999999999999967,14.000000000000359,47.744323706270166,84.0859241014404,94.5540307819794,63.472858387246696
13,7.999999999999971,14.000000000000504,51.07957801511145,84.41689683661149,94.99536104686464,64.3862379657307
14,7.999999999999972,14.862236453835235,53.10306482894894,84.73141928631709,95.1775061251967,64.61884006181738
15,8.00000000000001,14.884906233935343,53.51896597440585,85.21690560186269,95.87643748181064,64.93368390561392
16,8.000000000000014,14.89139063713126,54.52813964045711,85.50450975103188,96.18863364199552,65.06980850602086
17,8.000000000000018,14.919751912923404,55.63079761735651,85.71582948433827,96.36043163966164,65.81566466760736
18,8.000000000000023,15.104207567988482,56.419450416061395,86.02884394723102,96.61018483024387,65.91619630810365
19,8.000000000000036,15.999999999999606,56.637913240778566,86.2606980989447,96.96472997407419,66.11198371647164
