k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
0,-2.4868995751603507e-14,-1.7763568394002505e-14,-2.9055074103339884e-14,2.5579538487363607e-13,-1.4210854715202004e-13,1.6768808563938364e-12
1,5.999999999999936,7.999999999999959,9.999999999999773,68.59930886226029,82.6265745378368,51.657627759666184
2,5.999999999999972,10.000000000000066,28.575482379668927,72.04960202299472,84.24445116566301,57.5844978663867
3,5.999999999999996,10.000000000000098,32.42466795659065,72.2528411024974,87.10594984972687,58.14228034446758
4,5.9999999999999964,12.000000000000211,34.09386325605452,76.15020486112465,88.97041939505087,59.16674556028046
5,7.9999999999997975,12.000000000000279,34.74255774942675,76.48047452329644,89.40954911336226,60.15281066229597
6,7.99999999999985,13.999999999999556,38.69045124011677,77.76082599680088,90.87848870496069,60.3212151027683
7,7.999999999999851,13.999999999999691,39.21002496957334,79.11927585761504,91.29117933130259,61.07244634192139
8,7.999999999999901,13.999999999999988,44.54360930525731,80.29121383154836,92.07200804271423,61.368642631329564
9,7.999999999999918,14.000000000000046,46.185723889487576,82.03154085850096,92.98223993835686,66.00015381641899
10,7.999999999999923,14.000000000000046,46.26178524407149,83.0532123877851,93.25042971943697,66.87310060132162
11,7.99999999999993,14.000000000000114,47.116499721299135,83.9027529450557,93.43051904950146,67.46484113359001
12,7.999999999999967,14.000000000000359,47.65805260143633,84.0859241014404,94.37845417647866,67.73435094441453
13,7.999999999999971,14.000000000000504,48.336969171164164,84.41689683661149,94.84368415785907,67.92394692197006
14,7.999999999999972,14.862236453835235,51.014904282561325,84.73141928631709,95.53156460247703,68.86024728481915
15,8.00000000000001,14.884906233935343,51.2034977614094,85.21690560186269,95.99339061006891,69.34740281991061
16,8.000000000000014,14.89139063713126,51.51304810642419,85.50450975103188,96.22762185903434,69.67535514121397
17,8.000000000000018,14.919751912923404,52.515376755773,85.71582948433827,96.58316183817904,69.8099848119446
18,8.000000000000023,15.104207567988482,53.014928494555434,86.02884394723102,97.21528439919838,70.0680724493441
19,8.000000000000036,15.999999999999606,53.36237203989476,86.2606980989447,97.3462272265994,70.29100767844069
20,8.000000000000039,15.999999999999782,55.33096522440287,86.53607103830984,97.52875647221046,70.37989434337473
21,8.000000000000075,15.999999999999899,55.62905673921741,86.62061306592767,97.60423970594778,71.09394826814876
22,9.999999999999885,15.999999999999996,56.69555765111141,86.82813828452751,97.64357561046799,71.19022290546806
23,9.999999999999904,16.00000000000004,57.357300502111606,86.8731298848474,97.74607371130863,72.08332521078992
24,9.999999999999906,16.000000000000085,58.51024436325523,87.1760205128692,97.90738287122377,72.40544650737647
25,9.999999999999915,16.000000000000174,58.95834351189382,87.68942483654229,98.07421778671302,72.6512101725116
26,9.999999999999924,16.000000000000185,59.98546513797402,87.75705952990177,98.24299779244973,72.80382534962528
27,9.999999999999925,16.000000000000437,60.24054024998358,87.8919941654386,98.27378694088695,73.07839842675286
