k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,7.105427306612827e-15,-4.973799150320701e-14,1.421085424063619e-14,-7.105427357601002e-15,3.606837051250977e-14
1,3.9999999999999645,4.000000000000043,5.651705273230888,3.685306009523923,5.3976714875067895
2,3.9999999999999836,4.000000000000078,5.999999999999986,7.1140721000813665,8.291535522770218
3,3.999999999999991,5.999999999999967,7.96099432657378,7.262791166133207,8.455729033535832
4,4.000000000000028,5.9999999999999725,8.553524420262333,7.326923212545632,8.91330056680774
5,5.999999999999974,5.999999999999987,8.681728416381427,7.612867868374776,9.003141362180344
6,5.999999999999976,6.000000000000092,8.869678776115654,7.732026176701297,9.176292648855895
7,5.999999999999976,7.99999999999995,8.878929164700324,7.84148388949029,9.328225598659746
8,5.999999999999985,7.999999999999974,8.882269229296819,7.944553068464769,9.417571465373241
9,5.999999999999985,7.999999999999985,8.986528313196605,8.357898298037345,9.540352994474926
10,5.99999999999999,7.999999999999992,9.00345954584154,8.821277648454842,9.63005973248826
11,5.999999999999997,7.999999999999994,9.063622937510415,8.999236065137431,9.865827505797569
12,5.999999999999998,8.000000000000004,9.194938175692355,9.08901219538567,9.927539365605154
13,5.999999999999998,8.000000000000009,9.806990831697867,9.25305376909055,9.950588120330009
14,6.000000000000002,8.000000000000009,9.99999999999997,9.287384559554456,10.130780289839995
15,6.000000000000011,8.000000000000018,9.999999999999975,9.346103314338247,10.304329809884521
16,6.0000000000000115,8.000000000000018,9.999999999999993,9.486811232288115,10.316505842640211
17,6.000000000000014,8.000000000000032,9.999999999999998,9.545658218811242,10.493079992539869
18,6.000000000000015,8.000000000000036,10.000000000000009,9.559346814226252,10.521817328905259
19,6.000000000000018,8.000000000000057,10.000000000000018,9.651288875601159,10.670398378904366
20,6.000000000000025,9.690047475852591,10.00000000000003,9.678239189507085,10.713993146600847
21,6.000000000000039,9.797181519803027,10.000000000000032,9.708767990001146,10.84766752188914
22,6.000000000000058,9.999999999999972,10.000000000000053,9.803669547768022,10.888872016128069
23,7.999999999999973,9.999999999999977,10.023698611114153,9.852231398225227,11.016425864559
24,7.999999999999974,9.999999999999986,10.151473566505599,9.95530272182719,11.12831088609547
25,7.999999999999979,9.99999999999999,10.349284648355624,9.994833915827611,11.22081419283988
26,7.9999999999999805,9.99999999999999,10.734739414911227,10.057331174748677,11.32023724040302
27,7.999999999999982,9.999999999999991,10.80437834802615,10.1003128519924,11.36635529874481
28,7.999999999999986,9.999999999999991,10.832303676560732,10.192195902342066,11.449435914550506
29,7.999999999999987,9.999999999999993,10.858203930204711,10.261587095120296,11.532721349967144
30,7.999999999999987,9.999999999999996,10.943860564116031,10.314406438295803,11.602698098295127
31,7.999999999999988,10.0,10.97034730762452,10.38790006741203,11.66489504536555
32,7.9999999999999885,10.000000000000002,11.106997475543007,10.500566651666391,11.728957262231605
33,7.999999999999989,10.000000000000004,11.132186157104217,10.534475363313478,11.830104771643162
34,7.999999999999991,10.000000000000007,11.195442500346903,10.574234875812895,11.923653182373926
35,7.999999999999991,10.000000000000009,11.23382214927343,10.682181908671987,11.9656640445285
36,7.999999999999992,10.000000000000009,11.336623291380485,10.695201391924993,12.062272593554168
37,7.999999999999994,10.000000000000016,11.432233554042421,10.800021115906835,12.153393561108288
38,7.999999999999994,10.000000000000016,11.618960521274614,10.959586378626247,12.191730873597644
39,7.999999999999994,10.000000000000021,11.651705273230876,10.99079161513676,12.224418163091665
40,7.999999999999996,10.000000000000027,11.657068592440366,10.998033908323242,12.285181445515923
41,7.999999999999997,10.727510910780762,11.694356070418054,11.061601597937212,12.361619340317954
42,7.999999999999998,11.487034724926676,11.741531300768846,11.147925244053397,12.391959619368807
43,8.0,11.999999999999973,11.853208135899562,11.203657543138661,12.456886489528124
44,8.0,11.99999999999998,11.864188516833392,11.266504778665713,12.489495012684266
45,8.0,11.999999999999982,11.899477364796317,11.353394970134913,12.578887232281955
46,8.000000000000002,11.999999999999991,11.987762557281778,11.443967790074531,12.600880642437858
47,8.000000000000004,11.999999999999991,11.999999999999977,11.46066365121574,12.706198384880434
48,8.000000000000005,11.999999999999991,11.999999999999982,11.508121535604715,12.74015147122964
49,8.000000000000009,11.999999999999991,11.99999999999999,11.590776040445643,12.863429197938155
50,8.00000000000001,11.999999999999995,12.000000000000004,11.641368793895422,12.887984759956927
51,8.000000000000014,11.999999999999996,12.000000000000004,11.728742157184454,12.964112866108017
52,8.000000000000016,11.999999999999998,12.000000000000005,11.792464055991774,12.984437137932497
53,8.000000000000016,12.0,12.00000000000001,11.80614930898262,13.02695795272501
54,8.000000000000018,12.000000000000002,12.000000000000016,11.85877689270915,13.117084098286607
55,8.000000000000021,12.000000000000004,12.000000000000018,11.886857250741937,13.186152006086685
56,8.000000000000021,12.000000000000005,12.000000000000021,11.941512559301378,13.240704949437676
57,8.000000000000023,12.000000000000007,12.000000000000023,12.022715832707927,13.267520885456701
58,8.000000000000027,12.000000000000007,12.004832432358256,12.057575953631824,13.329491212250392
59,8.000000000000028,12.000000000000012,12.01816057111257,12.101953847947865,13.363946830958911
60,8.000000000000028,12.000000000000014,12.364187338058652,12.169972207207167,13.409588098024207
61,8.00000000000003,12.00000000000002,12.47719051709796,12.220338070042336,13.45849609019321
62,8.00000000000003,12.72751091078074,12.511604056655464,12.28780450375497,13.46542468663862
63,8.000000000000036,12.727510910780852,12.592382381724654,12.321498076432245,13.516316126661728
64,8.00000000000005,13.00632840475167,12.632623605288007,12.39798161571704,13.534132739252884
65,8.000000000000057,13.054224749742552,12.64915520484663,12.418296098650307,13.630493597800665
66,9.999999999999966,13.33892928235639,12.682810860677654,12.482335480771003,13.733427082519897
67,9.999999999999968,13.476974092323681,12.80037955539368,12.541332888666993,13.76359046601011
68,9.999999999999968,13.476974092323685,12.852912085297339,12.572034021914867,13.8303927145186
69,9.99999999999997,13.487034724926612,12.879702830677909,12.622370666578405,13.857006224372086
70,9.99999999999997,13.487034724926628,12.91159646823906,12.658191813845033,13.97213515012012
71,9.999999999999972,13.679996508823933,13.129517154563635,12.714621932742263,13.986455731524307
72,9.999999999999972,13.679996508823956,13.167092431009115,12.777651146874598,14.037777115320353
73,9.999999999999973,13.690047475852541,13.296531695204015,12.81408681569539,14.06525199365025
74,9.999999999999973,13.79718151980302,13.31763731300786,12.836750246311814,14.120128215382936
75,9.999999999999977,13.868132891952095,13.37744190699573,12.935079253072525,14.221045161084366
76,9.999999999999979,13.99999999999997,13.414881886065615,12.972592141396106,14.240314057136734
77,9.999999999999979,13.999999999999972,13.523473357486848,13.00840772795635,14.26496077112991
78,9.99999999999998,13.999999999999975,13.54091778001844,13.037756574944007,14.331396486761756
79,9.99999999999998,13.999999999999977,13.615420789182954,13.118466949443471,14.36410744657208
80,9.999999999999982,13.999999999999979,13.618960521274655,13.14746279101173,14.411972365435524
81,9.999999999999982,13.999999999999982,13.639674681598505,13.213777688052978,14.438571821447832
82,9.999999999999982,13.999999999999984,13.651705273230874,13.242438739376718,14.443517871853938
83,9.999999999999982,13.999999999999988,13.726821102996814,13.258165166766892,14.570387116988963
84,9.999999999999984,13.99999999999999,13.772192562606055,13.313084603203125,14.663072853367428
85,9.999999999999988,13.999999999999991,13.798301362746157,13.355946284337096,14.719215137458399
86,9.999999999999988,13.999999999999991,13.99999999999999,13.399650749206936,14.778524453995589
87,9.999999999999988,13.999999999999993,13.999999999999995,13.44466029178055,14.847036061217281
88,9.99999999999999,13.999999999999998,13.999999999999998,13.499339348887752,14.869215303538295
89,9.99999999999999,13.999999999999998,13.999999999999998,13.57082960248709,14.901359124941681
90,9.99999999999999,14.0,14.000000000000004,13.590320039313537,14.986616484575405
91,9.999999999999991,14.000000000000002,14.00000000000001,13.655040941378521,15.074130551554353
92,9.999999999999991,14.000000000000002,14.00000000000002,13.675156574350009,15.104397749197753
93,9.999999999999991,14.000000000000004,14.048274084059132,13.709745124401397,15.152238490750651
94,9.999999999999995,14.000000000000004,14.086325246193418,13.760108032012583,15.178304066339503
95,9.999999999999995,14.000000000000009,14.137181428531669,13.83970916150083,15.211436971739097
96,9.999999999999995,14.000000000000009,14.188552697162962,13.889474988132001,15.26572842570537
97,9.999999999999995,14.00000000000001,14.213105387961043,13.901528540464813,15.337927854842828
98,9.999999999999995,14.000000000000014,14.291903456066926,13.953112479613933,15.375506647290601
99,9.999999999999996,14.000000000000014,14.296460261795405,13.987127688134107,15.423411189703753
100,9.999999999999996,14.000000000000014,14.351811047306104,14.026442798776767,15.434775286176768
101,9.999999999999996,14.000000000000014,14.402429357252801,14.049908111055226,15.47968295486485
102,9.999999999999996,14.00000000000002,14.478186781013497,14.178026366119292,15.542291861278164
